UNOME,QTDE
CUENCA,3
PRUENCA,1
FERVENCA,1
CASTAINCA,1
BENINCA,10
TRINCA,3
HUINCA,1
CHUINCA,1
SQUINCA,2
ONCA,1
CONCA,1
FOFONCA,1
TRONCA,1
BRUNCA,2
OCA,5
DEBOCA,1
COCA,6
DOCA,7
LINDOCA,1
STAFOCA,1
SARAGOCA,3
PANHOCA,1
MACIOCA,1
CARIOCA,8
JOCA,8
LOCA,1
MILOCA,1
MOCA,1
POCA,3
ROCA,5
AROCA,1
CAROCA,1
LAROCA,1
PAROCA,1
BROCA,1
POROCA,2
BARROCA,13
SOCA,1
ZOCA,1
CONOPCA,1
ARCA,2
BARCA,9
ABARCA,1
PATRIARCA,4
GALARCA,4
MARCA,6
LAMARCA,3
PARCA,2
PETRARCA,3
BERCA,1
CERCA,1
LATERCA,1
ALVERCA,2
DORCA,2
MAIORCA,1
LORCA,2
HILORCA,1
JURCA,2
MURCA,3
CAMURCA,9
VARDASCA,1
VERDASCA,1
CIASCA,1
FALASCA,2
TALASCA,1
PASCA,1
MARASCA,2
FRASCA,4
CAMISASCA,1
TASCA,15
VASCA,1
CESCA,3
IGESCA,1
FIESCA,2
TELESCA,2
MORESCA,1
TRESCA,1
HUESCA,1
FAISCA,2
FRANCISCA,2
BOSCA,1
MOSCA,8
POSCA,2
TOSCA,2
FUSCA,1
CHAMUSCA,2
FRUSCA,1
CARRUSCA,1
CHAUCA,2
DUCA,1
DELDUCA,1
MANDUCA,7
MINDUCA,1
MACHUCA,1
KAIUCA,1
MAIUCA,1
JUCA,53
FRAJUCA,1
LUCA,26
DELUCA,2
PENELUCA,1
BILUCA,2
ZANLUCA,2
GIANUCA,2
AROUCA,17
VILAROUCA,3
TAROUCA,1
TOUCA,1
PUCA,3
CARUCA,1
PERUCA,1
MUNDURUCA,4
LATTUCA,1
JUTUCA,1
CABIZUCA,2
MAYCA,1
BADA,2
MACADA,2
PICADA,1
CALCADA,7
MONCADA,2
RONCADA,2
ESCADA,2
PESCADA,1
DADA,1
BONFADA,3
HADA,3
CHADA,6
CACHADA,1
MALHADA,1
CANHADA,2
RANHADA,1
GIADA,2
MIADA,1
NIADA,1
ARRIADA,1
MAJADA,1
TORTAJADA,1
TEJADA,6
QUIJADA,1
OSAKADA,1
OKADA,15
TSUKADA,1
TABLADA,1
CELADA,1
PORTELADA,2
ZELADA,2
PARELLADA,1
IMACULADA,1
MADA,1
CAMADA,2
HAMADA,14
KAMADA,1
HAKAMADA,1
RAMADA,4
TAMADA,5
OYAMADA,1
IMADA,2
SHIMADA,15
ALMADA,35
ARMADA,2
AHUMADA,2
KUMADA,2
HANADA,5
GRANADA,7
SANADA,3
INADA,5
MATINADA,2
DONADA,1
BERNADA,1
JORNADA,5
FUNADA,1
TABOADA,7
TAPADA,1
SPADA,13
ESPADA,4
RADA,2
CARADA,1
HARADA,15
PARADA,11
LABRADA,7
MAIBRADA,1
MEDRADA,3
PEDRADA,6
ANDRADA,21
TERADA,5
PRADA,6
SPRADA,2
TERRADA,1
TRADA,1
STRADA,2
ESTRADA,23
SAKURADA,2
SADA,7
ASADA,1
SASADA,1
BESADA,2
QUESADA,10
LOSADA,3
POSADA,3
ROSADA,2
BESSADA,1
QUESSADA,3
BOUSADA,1
LOUSADA,11
POUSADA,1
TADA,6
HATADA,3
MORTADA,1
COUTADA,1
KUADA,1
LATUADA,1
LATTUADA,1
VADA,1
CAVADA,1
CEVADA,3
LEVADA,1
WADA,5
AWADA,1
SAWADA,7
OWADA,2
KOWADA,3
SOWADA,1
KUWADA,1
QUIXADA,2
KUSHIOYADA,1
QUEZADA,1
CALZADA,1
LOZADA,3
BOUZADA,7
LOUZADA,73
DADDA,2
GADDA,1
PIREDDA,1
SEDDA,1
PODDA,1
EDA,3
FAEDA,2
MAEDA,42
IMAEDA,1
ASAEDA,1
BEDA,6
CABEDA,1
BOBEDA,1
UBEDA,2
MACEDA,2
SALCEDA,1
SAUCEDA,1
TAUCEDA,1
DEDA,2
KOREEDA,1
OGEDA,1
UGEDA,1
KULBIEDA,1
UIEDA,1
SUGUIEDA,1
TEJEDA,3
OJEDA,21
IKEDA,22
HIKEDA,1
SUKEDA,1
YKEDA,1
LEDA,13
VELEDA,8
AVELEDA,1
ALBOLEDA,1
ARBOLEDA,1
DAMEDA,2
KAMEDA,1
DEMEDA,1
ALMEDA,3
UMEDA,2
CANEDA,1
KANEDA,1
AVELLANEDA,1
CARPANEDA,1
ARANEDA,2
CASTANEDA,6
BENEDA,1
FRENEDA,1
SENEDA,1
HNEDA,2
PINEDA,7
ONEDA,2
DONEDA,6
RAMONEDA,1
FARNEDA,1
FERNEDA,3
FRESNEDA,4
TSUNEDA,1
ZUNEDA,1
MOEDA,1
CEPEDA,4
SEPEDA,1
ZEPEDA,1
AREDA,1
ALBAREDA,1
LAVAREDA,4
BREDA,28
CEREDA,2
HEREDA,1
PEREDA,1
VEREDA,2
FREDA,1
MOREDA,1
BARREDA,3
SEDA,1
ASEDA,1
NOSEDA,2
UEDA,19
IQUEDA,1
CERQUEDA,1
ESQUEDA,2
RUEDA,4
SEPULVEDA,9
POVEDA,2
ROVEDA,6
HYEDA,1
UYEDA,3
SARZEDA,2
URZEDA,2
UZEDA,13
HELEGDA,1
MEGDA,6
IDA,1
BAIDA,1
GAIDA,1
SCHAIDA,1
KAIDA,1
MAIDA,1
OAIDA,2
BRAIDA,4
SCHWAIDA,1
BIDA,3
PREMEBIDA,1
KUIBIDA,1
KUJBIDA,1
VALMORBIDA,4
APARECIDA,5
APPARECIDA,1
MUCIDA,1
SALDIDA,1
CANDIDA,8
HEIDA,1
MORALEIDA,1
DALMEIDA,3
ROSALMEIDA,3
ONEIDA,1
BRIGIDA,25
IIDA,2
KIDA,2
SHIKIDA,1
ENOKIDA,1
ERMIDA,2
HERMIDA,4
FIRMIDA,2
SUMIDA,3
DONIDA,5
ARIDA,1
CARIDA,1
MARGARIDA,5
BRIDA,4
DELABRIDA,1
DALLABRIDA,4
MALACRIDA,3
MERIDA,4
TRIDA,2
HAYASIDA,2
SACHSIDA,1
VIRSIDA,1
USIDA,1
TIDA,2
MATIDA,1
BASTIDA,3
UTIDA,5
TUTIDA,3
GUIDA,18
SANTAGUIDA,1
QUIDA,1
UAQUIDA,2
VIDA,9
SEPULVIDA,7
YIDA,1
BRIZIDA,2
KLOJDA,1
ALDA,1
BALDA,2
ESCALDA,2
MAFALDA,4
BREGALDA,2
VARALDA,2
GUALDA,4
VALDA,1
BELDA,1
DILDA,1
HILDA,1
WILDA,1
BOLDA,1
FOLDA,1
SARABANDA,1
CANDA,2
DANDA,2
GANDA,2
IANDA,1
LIANDA,1
KANDA,6
LANDA,4
MELANDA,2
PELANDA,2
BELLANDA,1
PELLANDA,4
HOLLANDA,14
OLANDA,3
HOLANDA,338
BERLANDA,8
ORLANDA,1
ARANDA,22
JACARANDA,6
PENARANDA,2
VARANDA,14
GRANDA,1
CASAGRANDA,3
ALTAMIRANDA,1
PIRANDA,1
SANDA,1
COTANDA,1
BENDA,1
FACCENDA,2
GENDA,1
MOLENDA,2
MENDA,3
LAPENDA,2
RENDA,4
MARENDA,2
MERENDA,1
MIRENDA,1
PRENDA,1
SENDA,2
MALUENDA,1
FAZENDA,3
INDA,3
BINDA,16
LUCINDA,2
SCHINDA,1
OLINDA,6
CHIRINDA,1
OLIVINDA,1
DONDA,1
GONDA,2
HONDA,20
KONDA,2
RAMONDA,1
FORONDA,2
SONDA,2
LAROTONDA,2
CUNDA,3
DUNDA,2
SEGUNDA,2
CATUNDA,20
ODA,17
LOBODA,2
SLOBODA,6
SVOBODA,3
ZVOBODA,1
SWOBODA,1
CODA,1
GODA,4
UAGODA,2
SGODA,1
WYGODA,1
ZGODA,2
LEBIODA,1
GIODA,3
CHIODA,1
TIODA,1
MODA,8
SHIMODA,2
KOMODA,1
TOMODA,1
NODA,10
SHINODA,2
MINODA,1
ONODA,3
SONODA,6
TSUNODA,3
RODA,7
DARODA,3
CRODA,2
MAIBORODA,1
KURODA,3
SODA,1
TODA,8
IFTODA,1
YODA,1
IYODA,1
TOYODA,7
ZAMBARDA,2
BOMBARDA,3
GARDA,4
MENGARDA,2
ESPINGARDA,1
SARDA,5
MOSTARDA,1
GUARDA,22
BELAGUARDA,1
BELLAGUARDA,2
LAVARDA,7
KALIBERDA,1
CERDA,2
LACERDA,710
MISERDA,1
CUERDA,1
ZERDA,1
KOKRDA,1
BORDA,5
LABORDA,2
TABORDA,22
CAMBORDA,1
FIORDA,1
BURDA,1
GASDA,2
HOSDA,1
UDA,2
LAUDA,5
BARBUDA,5
TSUCUDA,1
DUDA,8
HANIUDA,1
MAJUDA,1
KAKUDA,2
KIKUDA,1
TOKUDA,1
FUKUDA,11
ANUDA,2
ARUDA,1
ARRUDA,713
TRUDA,2
TSURUDA,1
TURUDA,1
SUDA,4
MASUDA,2
YASUDA,3
MASSUDA,9
YASSUDA,3
KUSSUDA,1
TSUDA,1
KATSUDA,1
YATSUDA,1
MATUDA,2
ALMEYDA,1
PEZDA,1
DROZDA,1
PECHEBEA,1
CEA,1
LICEA,3
VANCEA,1
OCEA,1
DEA,4
GADEA,1
MIDDEA,1
LEDEA,1
CANDEA,2
GEA,2
EGEA,5
EGGEA,1
BOGEA,15
TELLECHEA,2
BARRENECHEA,4
GOICOCHEA,2
ZORTHEA,3
SCALEA,1
OLEA,7
ALCOLEA,1
PATOLEA,1
MEA,4
DELLAMEA,2
CHIANAMEA,1
TREMEA,1
BANEA,1
MANEA,2
CANANEA,2
CHINEA,1
MENINEA,2
CHIRINEA,1
MONEA,2
CORNEA,1
REA,4
BAREA,7
BREA,2
LABREA,2
CAMBREA,1
ANDREA,22
DANDREA,2
ZANANDREA,5
PAPANDREA,1
SANTANDREA,1
PEREA,2
STEREA,1
VEREA,1
SCIREA,1
FLABOREA,1
DOREA,24
LOREA,4
OPREA,1
LARREA,3
BORREA,1
DOSEA,2
ULYSSEA,4
ARIMATEA,6
MARATEA,1
LARRATEA,2
PETEA,1
AMANTEA,5
DOROTEA,2
ZORTEA,7
GOVEA,3
GOUVEA,164
MAYEA,1
ZEA,1
FAFA,1
CAIAFA,5
KAFA,1
CARRAFA,2
GARRAFA,2
ROSSAFA,2
MOSTAFA,1
MUSTAFA,14
RUZAFA,1
GARREFA,2
JOSEFA,1
ZEFA,2
BAFFA,2
SCAFFA,2
CAIAFFA,1
RAFFA,1
GARAFFA,1
STAFFA,4
BEFFA,1
LEFFA,1
NEFFA,2
TCHEUFFA,1
CIUFFA,1
TRUFFA,1
ZUFFA,1
IFA,1
TARIFA,6
CALFA,1
ZALFA,1
BOMFA,1
FANFA,1
BONFA,7
FAROFA,2
ALOUFA,1
TSUFA,1
DAGA,2
VILARDAGA,1
ALEAGA,1
ANZOLEAGA,1
CAREAGA,1
ARTEAGA,2
FAGA,3
MUSTIFAGA,2
HAGA,1
CHAGA,2
SARACHAGA,1
ARECHAGA,1
SUBILHAGA,1
ALIAGA,1
MAGDARIAGA,1
ICASUARIAGA,1
MADRIAGA,2
ARRIAGA,1
ESNARRIAGA,2
INSAURRIAGA,2
ITURRIAGA,1
ARTIAGA,2
OLALQUIAGA,1
MALAGA,1
KOLAGA,1
SOLOAGA,1
FRAGA,295
HIRAGA,1
MORAGA,1
ASTIGARRAGA,1
ESTIGARRAGA,1
LEJARRAGA,1
GALARRAGA,2
PARRAGA,3
ZARRAGA,1
GONSAGA,2
TAGA,1
ZULUAGA,1
WAGA,1
IZAGA,1
IRIZAGA,1
ASTURIZAGA,1
LUIZAGA,1
GONZAGA,190
BARZAGA,1
BEGA,3
ACEGA,1
BACCEGA,2
BACHEGA,7
VILHEGA,1
RABIEGA,1
BACHIEGA,3
PACHIEGA,1
SIEGA,3
VIEGA,5
CHALEGA,1
BARTELEGA,1
SILEGA,1
VILLEGA,1
MEGA,5
TAMEGA,1
FUMEGA,2
VARDANEGA,1
ARANEGA,2
VENEGA,1
DONEGA,6
REGA,1
CAREGA,1
MAREGA,7
SINAREGA,1
BREGA,1
NOBREGA,447
FREGA,2
TOREGA,1
TARREGA,1
LOUREGA,1
SEGA,3
ASEGA,1
BESSEGA,3
TEGA,1
BOTEGA,8
ORTEGA,48
PASTEGA,1
MAROSTEGA,2
BETTEGA,7
BOTTEGA,7
VEGA,35
NAVEGA,6
MAZEGA,1
SAIGA,2
FAIDIGA,1
BORDIGA,1
MEIGA,1
VEIGA,273
MARAFIGA,7
HIGA,38
SHIGA,1
PALIGA,3
SCHELIGA,1
MELIGA,1
