PNOME,SEXO,QTDE
DEBORAH,F,71
YURI,M,69
WESLEY,M,68
MAIRA,F,67
ALFREDO,M,63
ARNALDO,M,59
IZABEL,F,56
ALEXANDRA,F,49
JUSSARA,F,47
CATIA,F,46
IARA,F,46
EDVALDO,M,45
OTAVIO,M,44
WILLIAN,M,43
SUELY,F,42
JAIME,M,41
RAMON,M,41
LIDIA,F,41
ELTON,M,39
CLARISSA,F,39
LUZIA,F,38
RAUL,M,36
HELDER,M,35
NAYARA,F,34
ADEMIR,M,33
SEVERINO,M,33
VALMIR,M,32
ALMIR,M,30
AILTON,M,28
CHRISTIANE,F,27
SIDNEY,M,27
ANNE,F,25
DEISE,F,25
DENIS,M,25
RACHEL,F,25
JACKSON,M,20
SAMARA,F,18
GIOVANA,F,17
TAIS,F,17
ALISSON,M,16
ADRIANE,F,16
JOYCE,F,15
EMANUEL,M,14
CARINA,F,14
CELIO,M,13
CLOVIS,M,13
CLARICE,F,12
MARLI,F,12
REBECA,F,12
RAISSA,F,11
JOSUE,M,10
JANETE,F,9
ISRAEL,M,8
RUI,M,6
PAMELA,F,5
MARLON,M,4
CLEIDE,F,4
CAMILLA,F,4
NARA,F,4
ADALBERTO,M,0
ISADORA,F,255
TERESA,F,255
ITALO,M,253
CYNTHIA,F,253
VILMA,F,250
VITORIA,F,247
SHIRLEY,F,245
ARMANDO,M,245
MARCEL,M,244
VAGNER,M,244
JUAREZ,M,243
ROSILENE,F,243
NUBIA,F,242
MANUEL,M,241
DANIELLA,F,241
OSMAR,M,241
KEILA,F,239
JULIANE,F,238
MARISTELA,F,235
ROSELI,F,234
MARIANE,F,233
CLARA,F,230
MELISSA,F,226
IVONE,F,226
ISMAEL,M,226
RUTH,F,224
EVERALDO,M,223
ELLEN,F,223
MANUELA,F,223
JOELMA,F,222
ANDREZA,F,222
ELZA,F,221
MOACIR,M,220
ELIZABETE,F,220
ERICK,M,219
ELISABETE,F,219
HAMILTON,M,217
LAURO,M,217
BRENDA,F,217
WANDERSON,M,216
TARCISIO,M,214
APARECIDA,F,214
AFONSO,M,212
IVO,M,212
MARY,F,212
JUAN,M,211
ROSEMARY,F,211
MAX,M,210
HELEN,F,209
GABRIELLA,F,209
VANDERLEI,M,207
MAGDA,F,206
ROSE,F,206
SORAYA,F,205
MARCELLO,M,204
IVANA,F,203
EVALDO,M,202
TAMARA,F,202
CARMEM,F,202
NIVALDO,M,202
GIOVANNA,F,201
MARGARETH,F,201
NEIDE,F,200
ERIC,M,200
ARIANE,F,200
POLIANA,F,200
TULIO,M,199
ALANA,F,198
CONCEICAO,M,198
EDGAR,M,197
SUELEN,F,197
EUGENIO,M,197
THALES,M,196
ROGER,M,195
LUDMILA,F,193
CINTHIA,F,193
REGIANE,F,193
AIRTON,M,193
NORMA,F,193
LUAN,M,193
EDISON,M,193
DAYSE,F,192
DENILSON,M,191
PAOLA,F,190
JONATHAN,M,189
CRISTIANA,F,189
HUDSON,M,188
CHRISTIAN,M,187
HAROLDO,M,186
NEWTON,M,186
PATRICK,M,186
GIOVANI,M,185
NEUSA,F,185
OSCAR,M,184
GILVAN,M,184
THALITA,F,183
EUNICE,F,183
MARTHA,F,183
ENIO,M,182
GRAZIELA,F,181
MARCELLA,F,180
JOICE,F,179
ADAO,M,179
ISABELLE,F,179
JAILSON,M,179
ALDO,M,178
DAYANE,F,178
ISAAC,M,178
ADEMAR,M,177
ITAMAR,M,177
JONATAS,M,177
ISIS,F,175
KENIA,F,174
SUSANA,F,174
RAFAELLA,F,174
CLEITON,M,174
GIOVANNI,M,174
DJALMA,F,174
GLORIA,F,173
CIBELE,F,170
ALEXSANDRO,M,170
FRANCIELE,F,169
LAERCIO,M,169
KAMILA,F,169
IRENE,F,168
SUELLEN,F,168
CATARINA,F,167
EVA,F,166
MARGARIDA,F,166
HEITOR,M,165
MICHAEL,M,165
LUCIMAR,F,165
SIDNEI,M,164
WALLACE,M,164
ULISSES,M,163
RUY,M,162
JOSIAS,M,162
PALOMA,F,162
ELIETE,F,162
GLAUBER,M,161
DAIANA,F,161
LIANA,F,161
GABRIELLE,F,161
EDILENE,F,160
CEZAR,M,160
EDUARDA,F,159
MARLY,F,159
JEANE,F,159
FABRICIA,F,158
REGIS,M,157
EDIVALDO,M,157
DARIO,M,157
MAYRA,F,157
LIA,F,157
YARA,F,156
EMILIA,F,156
TAMIRES,F,156
FRANCINE,F,156
ESTER,M,154
WANDERLEY,M,154
EDMAR,M,154
KAROLINE,F,154
VANDA,F,152
WANESSA,F,152
MAGNO,M,152
ISAIAS,M,152
ELIZANGELA,F,151
GISLAINE,F,151
ROSEANE,F,151
VALQUIRIA,F,151
ALEXANDER,M,150
ELISABETH,F,150
INES,F,150
VLADIMIR,M,150
IEDA,F,150
CLEONICE,F,149
MILENE,F,149
NILO,M,149
AGNALDO,M,149
CLAYTON,M,149
AMAURI,M,148
NADJA,F,148
MARGARETE,F,148
LOURIVAL,M,148
CIRO,M,147
JOSEFA,F,147
RONALD,M,146
ALCIDES,M,146
HELLEN,F,146
GLAUCO,M,145
MARIZA,F,145
GEORGIA,F,144
CLAUDETE,F,143
MARCILIO,M,143
IRIS,F,143
WALDIR,M,143
FRANKLIN,M,143
JAMES,M,142
LISIANE,F,142
ANSELMO,M,142
MARILDA,F,141
EDNALDO,M,141
SILVANIA,F,141
IVANILDO,M,140
ELSON,M,139
ERICO,M,138
ARLETE,F,138
NICOLE,F,138
DALVA,F,138
MAISA,F,138
AUREA,F,138
IZABELA,F,138
ELIZETE,F,137
LAZARO,M,137
VALDECI,X,137
MARCELLE,F,137
IRACEMA,F,136
ROSIANE,F,136
JOSEANE,F,136
RUBIA,F,135
TAINA,F,135
VALDEMIR,M,134
JANIO,M,134
MAICON,M,134
LUCILENE,F,134
ERNESTO,M,133
CARINE,F,133
AMARILDO,M,132
NILZA,F,131
RUTE,F,131
ARLINDO,M,131
WILMA,F,131
MARIANGELA,F,130
TADEU,M,130
LEDA,F,129
SAVIO,M,129
LILIA,F,129
ALTAIR,M,128
EVELYN,F,128
