PNOME,QTDE,PERC
GORETE,6,0.0009
LACI,6,0.0009
KYVIA,6,0.0009
RAMILSON,6,0.0009
LINDACI,6,0.0009
WILHELM,6,0.0009
DALETE,6,0.0009
EDICLEIA,6,0.0009
MARCIELLE,6,0.0009
ISLANE,6,0.0009
JACILDA,6,0.0009
EDEZIO,6,0.0009
ENDRIGO,6,0.0009
MELAINE,6,0.0009
VAN,6,0.0009
EDERALDO,6,0.0009
ISLAINE,6,0.0009
MARCI,6,0.0009
MELCHIOR,6,0.0009
RENO,6,0.0009
TAIANY,6,0.0009
MELISE,6,0.0009
EDELBERTO,6,0.0009
JOZIANE,6,0.0009
JOZIMAR,6,0.0009
SUMARA,6,0.0009
EDIEL,6,0.0009
JABES,6,0.0009
MARCILEIA,6,0.0009
MAYKE,6,0.0009
RICKSON,6,0.0009
ELZIRA,6,0.0009
EDIMIR,6,0.0009
RICHELI,6,0.0009
MARGARITA,6,0.0009
MAYANNE,6,0.0009
JOVENTINA,6,0.0009
JOVENTINO,6,0.0009
WAINER,6,0.0009
MARCILON,6,0.0009
MAYKEL,6,0.0009
ISMAIL,6,0.0009
EMILENA,6,0.0009
MARCONES,6,0.0009
JOVIANO,6,0.0009
WALBERTO,6,0.0009
ROSALINE,6,0.0009
MAYRLA,6,0.0009
SILVANY,6,0.0009
EBERTON,6,0.0009
TAIRONE,6,0.0009
MADISON,6,0.0009
WALDIRA,6,0.0009
MICHELANGELO,6,0.0009
RENILDE,6,0.0009
MAELY,6,0.0009
SUENY,6,0.0009
IRLANDA,6,0.0009
ROSENEIDE,6,0.0009
JONNAS,6,0.0009
SUENI,6,0.0009
DORI,6,0.0009
ERNANY,6,0.0009
DOGIVAL,6,0.0009
MADELAINE,6,0.0009
MACARIO,6,0.0009
ERONI,6,0.0009
EROTIDES,6,0.0009
EROTILDES,6,0.0009
MILENNA,6,0.0009
ERLAINE,6,0.0009
MAIKA,6,0.0009
ERENILDO,6,0.0009
DUCILENE,6,0.0009
DYANA,6,0.0009
ROSECLEA,6,0.0009
DUNIA,6,0.0009
MALVINA,6,0.0009
JORIO,6,0.0009
MAKSON,6,0.0009
JACK,6,0.0009
SILVETE,6,0.0009
VALMI,6,0.0009
WALDINEY,6,0.0009
DRIELLE,6,0.0009
ERIKE,6,0.0009
ERIKSON,6,0.0009
RENILDES,6,0.0009
ERIMAR,6,0.0009
DOROTEA,6,0.0009
ERINA,6,0.0009
TAIZE,6,0.0009
ELYS,6,0.0009
VANESA,6,0.0009
VANESCA,6,0.0009
IVONEI,6,0.0009
VINCENZO,6,0.0009
SILVANEIDE,6,0.0009
MARLIO,6,0.0009
EGLE,6,0.0009
IVANILDES,6,0.0009
IVON,6,0.0009
EFREM,6,0.0009
EFRAIN,6,0.0009
ELILSON,6,0.0009
MARLIETE,6,0.0009
MARINEUSA,6,0.0009
SILVANDO,6,0.0009
MARINEI,6,0.0009
JOSIMARY,6,0.0009
SUYANE,6,0.0009
SILVANETE,6,0.0009
SYBELLE,6,0.0009
JOSIMERE,6,0.0009
ELIAQUIM,6,0.0009
JOSICLEIDE,6,0.0009
VITALINO,6,0.0009
IVERSON,6,0.0009
VERUSCA,6,0.0009
ROLAND,6,0.0009
IVANNA,6,0.0009
MARIUZA,6,0.0009
ELEUTERIO,6,0.0009
MARIUSA,6,0.0009
MARJORY,6,0.0009
ELIABE,6,0.0009
ELIAKIM,6,0.0009
VILTON,6,0.0009
ELEAZAR,6,0.0009
ELEANA,6,0.0009
RODRYGO,6,0.0009
SUZANI,6,0.0009
VERGINIA,6,0.0009
ELIANGELA,6,0.0009
ELBERT,6,0.0009
IVIA,6,0.0009
VANUZIA,6,0.0009
EDRIENE,6,0.0009
RONIS,6,0.0009
MAURICIA,6,0.0009
RIVANILDO,6,0.0009
EDLAMAR,6,0.0009
ELIZIA,6,0.0009
MARIELLY,6,0.0009
EDIVANIO,6,0.0009
MARIELLI,6,0.0009
VANILDE,6,0.0009
ELNA,6,0.0009
EDIVA,6,0.0009
EDLEIDE,6,0.0009
RIVADAVIA,6,0.0009
MARIDETE,6,0.0009
MARICE,6,0.0009
VANI,6,0.0009
EDIPO,6,0.0009
EDIONE,6,0.0009
SUSANNA,6,0.0009
ELSO,6,0.0009
EDLANE,6,0.0009
SUSIE,6,0.0009
EDNIR,6,0.0009
IVANDA,6,0.0009
EDNILTON,6,0.0009
MARTINIANO,6,0.0009
MARTINS,6,0.0009
EDNEUSA,6,0.0009
MARVIN,6,0.0009
VANUSIA,6,0.0009
MARILUZE,6,0.0009
MARILTON,6,0.0009
MARILIS,6,0.0009
VANIRA,6,0.0009
MARILIO,6,0.0009
MARYANNA,6,0.0009
MARILICE,6,0.0009
ROMOALDO,6,0.0009
MARILI,6,0.0009
ROBER,6,0.0009
JOSINEY,6,0.0009
IZAAC,6,0.0009
ERYKA,6,0.0009
ESMAEL,6,0.0009
MILIANE,6,0.0009
UANDERSON,6,0.0009
FREDDY,6,0.0009
LINDENBERG,6,0.0009
DAYVID,6,0.0009
WEIDER,6,0.0009
ROZELIA,6,0.0009
DAYANY,6,0.0009
ELEONOR,6,0.0009
SEVERIANO,6,0.0009
LINALDO,6,0.0009
FRANKLYN,6,0.0009
ROZIMEIRE,6,0.0009
DAYAMI,6,0.0009
INAJA,6,0.0009
LIN,6,0.0009
NATALYA,6,0.0009
JOCENIR,6,0.0009
GALILEU,6,0.0009
DARLON,6,0.0009
JOCILEIDE,6,0.0009
DEANE,6,0.0009
RUANA,6,0.0009
STHEFANE,6,0.0009
RAVENNA,6,0.0009
FRANCIENE,6,0.0009
DELIANE,6,0.0009
DELFIM,6,0.0009
DELCY,6,0.0009
FRANCILIO,6,0.0009
DELANA,6,0.0009
LISIEUX,6,0.0009
UENDEL,6,0.0009
INAYARA,6,0.0009
DEIVIDI,6,0.0009
JULIETTE,6,0.0009
NALU,6,0.0009
WAYNE,6,0.0009
RANYERE,6,0.0009
WEBERT,6,0.0009
LINDOVAL,6,0.0009
WEDERSON,6,0.0009
DARLIANE,6,0.0009
GEANCARLO,6,0.0009
NAIADE,6,0.0009
LI,6,0.0009
STEPHANIA,6,0.0009
WERONICA,6,0.0009
WERTHER,6,0.0009
WESKLEY,6,0.0009
DANIANE,6,0.0009
TANIRA,6,0.0009
RUDNEY,6,0.0009
NEDER,6,0.0009
GERCIANE,6,0.0009
TIARAJU,6,0.0009
DALVANI,6,0.0009
DALVAN,6,0.0009
NEDSON,6,0.0009
LEYLANE,6,0.0009
WILDE,6,0.0009
LESSANDRO,6,0.0009
GESMAR,6,0.0009
DALIANE,6,0.0009
ILMARA,6,0.0009
NAYLOR,6,0.0009
LILIANI,6,0.0009
DANYLO,6,0.0009
DARLA,6,0.0009
WELLIGTON,6,0.0009
WELLINTON,6,0.0009
RUBIANA,6,0.0009
NATANY,6,0.0009
JULYANNA,6,0.0009
GELSA,6,0.0009
RUBIO,6,0.0009
ILZO,6,0.0009
RAMONE,6,0.0009
ILZE,6,0.0009
DANYELE,6,0.0009
JANDSON,6,0.0009
DANUSIA,6,0.0009
JUNIEL,6,0.0009
NATHANAEL,6,0.0009
TIELE,6,0.0009
LIANDRA,6,0.0009
LIVIANE,6,0.0009
FRANCIELLEN,6,0.0009
ESPERIDIAO,6,0.0009
LUCIUS,6,0.0009
IRANILSON,6,0.0009
LUDGERO,6,0.0009
DIMAR,6,0.0009
SIDARTA,6,0.0009
DILVA,6,0.0009
JAILZA,6,0.0009
LUCIVALDA,6,0.0009
EVANGELINA,6,0.0009
EVANIO,6,0.0009
LUDYMILLA,6,0.0009
AARON,6,0.0009
DIHEGO,6,0.0009
DIENIFER,6,0.0009
DICKSON,6,0.0009
IRANDI,6,0.0009
REGES,6,0.0009
EVERTHON,6,0.0009
TALVANES,6,0.0009
VALDEZ,6,0.0009
VALDILEIA,6,0.0009
DHEBORA,6,0.0009
REILA,6,0.0009
ESTACIO,6,0.0009
TALLITA,6,0.0009
LUSMAR,6,0.0009
VALDIVIA,6,0.0009
LUSINETE,6,0.0009
LUKAS,6,0.0009
JAIDETE,6,0.0009
MIRACY,6,0.0009
IRENILDE,6,0.0009
REGILANE,6,0.0009
IRENI,6,0.0009
JAILDA,6,0.0009
EUDA,6,0.0009
TALLYTA,6,0.0009
VALDINA,6,0.0009
DINEA,6,0.0009
DINARTE,6,0.0009
EULALIO,6,0.0009
LUCILDA,6,0.0009
DEYVSON,6,0.0009
LIVYA,6,0.0009
MYRLA,6,0.0009
RAYLANE,6,0.0009
DENISIA,6,0.0009
FILEMON,6,0.0009
WANDO,6,0.0009
IONETE,6,0.0009
LORRANA,6,0.0009
FLORACI,6,0.0009
FLORENCIA,6,0.0009
DEMOSTHENES,6,0.0009
ROSSINE,6,0.0009
MYRTES,6,0.0009
LIZE,6,0.0009
ROY,6,0.0009
WASLEY,6,0.0009
NAIA,6,0.0009
DEMERSON,6,0.0009
DELZUITA,6,0.0009
FRANCIANI,6,0.0009
FIDELIS,6,0.0009
WANDERLI,6,0.0009
VALDENIO,6,0.0009
JALES,6,0.0009
LUCILAINE,6,0.0009
ROSIMARI,6,0.0009
SIMEAO,6,0.0009
DEUSDETH,6,0.0009
JOHANNES,6,0.0009
DEUSDEDIT,6,0.0009
SHENIA,6,0.0009
SHAYENE,6,0.0009
FABIOLLA,6,0.0009
VAGNO,6,0.0009
IRAILDE,6,0.0009
LUCE,6,0.0009
LUANNY,6,0.0009
FELICIANA,6,0.0009
VALCILENE,6,0.0009
RAYNARA,6,0.0009
MULLER,6,0.0009
JOFRE,6,0.0009
TAIRINE,6,0.0009
AARAO,6,0.0009
ADELE,6,0.0009
ARINA,6,0.0009
ALIETE,6,0.0009
CACIANE,6,0.0009
ALDENIRA,6,0.0009
ADELICE,6,0.0009
ALETEIA,6,0.0009
ADELMAR,6,0.0009
ADALMIR,6,0.0009
ALUIZO,6,0.0009
ASSUERO,6,0.0009
ANTELMO,6,0.0009
ADEIR,6,0.0009
ALCIO,6,0.0009
ALEIDA,6,0.0009
AURIO,6,0.0009
ADAILDO,6,0.0009
BENEVALDO,6,0.0009
BENVINDO,6,0.0009
ARIANO,6,0.0009
ADENAUER,6,0.0009
ALENE,6,0.0009
ARCENIO,6,0.0009
ADY,6,0.0009
ANESIA,6,0.0009
ALAERCIO,6,0.0009
ALOMA,6,0.0009
ALBANIA,6,0.0009
BOAZ,6,0.0009
AURINETE,6,0.0009
BENEDICTO,6,0.0009
ANDRIELLE,6,0.0009
ALDEMARIO,6,0.0009
ADRIELY,6,0.0009
ARCANGELO,6,0.0009
ARIELLY,6,0.0009
AMADEUS,6,0.0009
CACIO,6,0.0009
ALLEN,6,0.0009
ANARA,6,0.0009
ANILDA,6,0.0009
AMINTAS,6,0.0009
BRIANE,6,0.0009
ANDREINA,6,0.0009
ALCIENE,6,0.0009
ALBERES,6,0.0009
ADMIR,6,0.0009
APOLONIA,6,0.0009
AVILA,6,0.0009
ARIADINA,6,0.0009
ADAILZA,6,0.0009
AMANDO,6,0.0009
ALEANDRO,6,0.0009
ALLANE,6,0.0009
ALANDERSON,6,0.0009
AIR,6,0.0009
ALCI,6,0.0009
ANABELLE,6,0.0009
ALCILEA,6,0.0009
ANGELI,6,0.0009
AULUS,6,0.0009
ANAHY,6,0.0009
BENVINDA,6,0.0009
BENIGNA,6,0.0009
ANAY,6,0.0009
AQUINO,6,0.0009
ADEMILDES,6,0.0009
ARLON,6,0.0009
ADONIRAN,6,0.0009
ALEXA,6,0.0009
ANELISA,6,0.0009
ANELI,6,0.0009
ADILON,6,0.0009
CALIL,6,0.0009
ADILMA,6,0.0009
ARMANDA,6,0.0009
BRENDO,6,0.0009
TEODORA,5,0.0008
MUSA,5,0.0008
YONA,5,0.0008
DORALINA,5,0.0008
IDALMO,5,0.0008
MURYEL,5,0.0008
WELLTON,5,0.0008
DOROTHY,5,0.0008
GENISON,5,0.0008
VALDILEA,5,0.0008
GENISSON,5,0.0008
IAMARA,5,0.0008
MARIDALVA,5,0.0008
DALCI,5,0.0008
LEDI,5,0.0008
SAMANDA,5,0.0008
ALECIA,5,0.0008
GEORG,5,0.0008
BOANERGES,5,0.0008
RAEL,5,0.0008
CLADEMIR,5,0.0008
ARYANNE,5,0.0008
TEODORICO,5,0.0008
YOHAN,5,0.0008
TEMIS,5,0.0008
JOZIEL,5,0.0008
MARIELY,5,0.0008
TELES,5,0.0008
RAFFAELA,5,0.0008
MARIETE,5,0.0008
ELIONEIDE,5,0.0008
LEDJANE,5,0.0008
IDALECIO,5,0.0008
GEOVANIO,5,0.0008
DORCAS,5,0.0008
LEIDJANE,5,0.0008
GEOVANNY,5,0.0008
JUCELAINE,5,0.0008
VALDINAR,5,0.0008
GERMANNA,5,0.0008
DORVAL,5,0.0008
ELIELZA,5,0.0008
JULLYANE,5,0.0008
ANDERSSON,5,0.0008
RANIELY,5,0.0008
LAURENT,5,0.0008
MOIRA,5,0.0008
JULLIANY,5,0.0008
GIANFRANCO,5,0.0008
GIANCARLOS,5,0.0008
JULLIA,5,0.0008
WERTON,5,0.0008
VALDEMI,5,0.0008
LAURIENE,5,0.0008
RAMOS,5,0.0008
ARTEMISA,5,0.0008
GEYLSON,5,0.0008
GIANNY,5,0.0008
GICELDA,5,0.0008
ANDERSEN,5,0.0008
DULCINEIDE,5,0.0008
ALEKSANDRO,5,0.0008
GILCE,5,0.0008
RUBENIA,5,0.0008
HILMAR,5,0.0008
MARINNA,5,0.0008
MOACI,5,0.0008
RAONY,5,0.0008
JULYANE,5,0.0008
AGLAIR,5,0.0008
JUMARA,5,0.0008
ADEVAL,5,0.0008
RAONE,5,0.0008
ARIADINE,5,0.0008
GIGLIOLA,5,0.0008
MARINEIA,5,0.0008
ALEIDE,5,0.0008
DAIZE,5,0.0008
GEUSA,5,0.0008
ANDREISA,5,0.0008
ALISSA,5,0.0008
ALISSANDRA,5,0.0008
RAINA,5,0.0008
WENNER,5,0.0008
SABRYNA,5,0.0008
GERHARD,5,0.0008
RAIMAR,5,0.0008
HYAGO,5,0.0008
WENIO,5,0.0008
ALITA,5,0.0008
VALDIANE,5,0.0008
JUCICLEIDE,5,0.0008
AMIRA,5,0.0008
GERCINA,5,0.0008
NABILA,5,0.0008
TERENCE,5,0.0008
JUCINEIA,5,0.0008
YISEL,5,0.0008
CACIANA,5,0.0008
GETRO,5,0.0008
ELIESIO,5,0.0008
GESSY,5,0.0008
GESSIANE,5,0.0008
CLAUCIA,5,0.0008
MORENA,5,0.0008
RUTILENE,5,0.0008
MORGAN,5,0.0008
VALDENORA,5,0.0008
MORGANNA,5,0.0008
LAYANNA,5,0.0008
DAILA,5,0.0008
LAYDE,5,0.0008
TEILA,5,0.0008
DEMOCRITO,5,0.0008
GENEZIO,5,0.0008
CIRLEIA,5,0.0008
IPOJUCAN,5,0.0008
DIRK,5,0.0008
TARITA,5,0.0008
CHRISTOVAO,5,0.0008
JOSELENA,5,0.0008
DANUBIO,5,0.0008
OZORIO,5,0.0008
DANUTA,5,0.0008
DANUZIA,5,0.0008
OZILENE,5,0.0008
ELSIE,5,0.0008
FRANCYNE,5,0.0008
ELSIO,5,0.0008
LEUDA,5,0.0008
SERENA,5,0.0008
JOSELIAS,5,0.0008
ANDYARA,5,0.0008
WDSON,5,0.0008
INGRA,5,0.0008
GAUDENCIO,5,0.0008
ELMANO,5,0.0008
PAULIANE,5,0.0008
NAISE,5,0.0008
JOSENY,5,0.0008
TASSILA,5,0.0008
NAJILA,5,0.0008
VANA,5,0.0008
INGRIDY,5,0.0008
JOSENIAS,5,0.0008
ELOANA,5,0.0008
JOSENI,5,0.0008
JOSEMEIRE,5,0.0008
JOSEMBERG,5,0.0008
ARACELY,5,0.0008
CHRISTIE,5,0.0008
DIOVANA,5,0.0008
JORGIANA,5,0.0008
NASSER,5,0.0008
MANOLO,5,0.0008
SEVERO,5,0.0008
IRENO,5,0.0008
ELVINA,5,0.0008
ELVINO,5,0.0008
OTONI,5,0.0008
BENI,5,0.0008
MANFREDO,5,0.0008
SHAIANE,5,0.0008
FRANCIMEIRE,5,0.0008
IRINEA,5,0.0008
IRINEO,5,0.0008
FRANCIJANE,5,0.0008
IRENICE,5,0.0008
MANUELE,5,0.0008
DANYELLA,5,0.0008
MARALICE,5,0.0008
FRANCLIN,5,0.0008
ELTHON,5,0.0008
AUTA,5,0.0008
VANDERCI,5,0.0008
FRANCISNEY,5,0.0008
NARCISA,5,0.0008
DIORGE,5,0.0008
ALMINO,5,0.0008
DIONY,5,0.0008
IRAPUA,5,0.0008
MARACY,5,0.0008
YUNIEL,5,0.0008
IRAQUITAN,5,0.0008
DIONIR,5,0.0008
INDIANA,5,0.0008
WEDNA,5,0.0008
ANDRIUS,5,0.0008
ILANNA,5,0.0008
ALEANDRA,5,0.0008
VALFRIDO,5,0.0008
DALVINA,5,0.0008
ELIVAN,5,0.0008
DALVO,5,0.0008
GELZA,5,0.0008
LENILDE,5,0.0008
GENALDO,5,0.0008
VALMAR,5,0.0008
ILDENE,5,0.0008
ELIZABETHE,5,0.0008
ALBERTH,5,0.0008
SANDRINE,5,0.0008
GELCI,5,0.0008
WELKSON,5,0.0008
ELITANIA,5,0.0008
PHABLO,5,0.0008
TECIO,5,0.0008
NABOR,5,0.0008
SAMY,5,0.0008
TED,5,0.0008
JOVIANA,5,0.0008
LEISE,5,0.0008
YORDANKA,5,0.0008
DONALDO,5,0.0008
MARIONE,5,0.0008
DALSON,5,0.0008
CIRA,5,0.0008
VALENTIN,5,0.0008
ACHILES,5,0.0008
MARIALICE,5,0.0008
DOMENICA,5,0.0008
JOSIVANE,5,0.0008
TAYARA,5,0.0008
DIVANETE,5,0.0008
LEONIA,5,0.0008
IMARA,5,0.0008
ANDRINE,5,0.0008
ANDRIO,5,0.0008
INAIARA,5,0.0008
ARAQUEM,5,0.0008
DIVANIR,5,0.0008
DANIELSON,5,0.0008
YTALO,5,0.0008
LEONIDIA,5,0.0008
NAIMA,5,0.0008
LEONILDES,5,0.0008
TATHYANE,5,0.0008
CAINA,5,0.0008
JOSIARA,5,0.0008
IMACULADA,5,0.0008
MARCOLINO,5,0.0008
DAMIAN,5,0.0008
AELTON,5,0.0008
SANIA,5,0.0008
DJAVAN,5,0.0008
ELIZENE,5,0.0008
ILNAR,5,0.0008
JOSIMEIRE,5,0.0008
ILO,5,0.0008
GEILTON,5,0.0008
DJACIR,5,0.0008
DJANILSON,5,0.0008
SANZIA,5,0.0008
NAIDE,5,0.0008
LEONARA,5,0.0008
GEDER,5,0.0008
DJACY,5,0.0008
GENE,5,0.0008
JUSCELINA,5,0.0008
HILDOMAR,5,0.0008
ARLEM,5,0.0008
ROSECLEIDE,5,0.0008
MATTHEUS,5,0.0008
GLAUCIELE,5,0.0008
TYAGO,5,0.0008
RILSON,5,0.0008
GLAUCIANA,5,0.0008
MATILDES,5,0.0008
EGUINALDO,5,0.0008
MEYRE,5,0.0008
ROSELENA,5,0.0008
WILLYAN,5,0.0008
ANAILDE,5,0.0008
KATIELLE,5,0.0008
KLEBIA,5,0.0008
EDILSA,5,0.0008
HAROLD,5,0.0008
GLAUCIMAR,5,0.0008
WINDSON,5,0.0008
KAUANE,5,0.0008
EDINILTON,5,0.0008
CLEMILDO,5,0.0008
KILZA,5,0.0008
ALESSON,5,0.0008
MAURICE,5,0.0008
MERE,5,0.0008
WILY,5,0.0008
RISOMAR,5,0.0008
EDINEA,5,0.0008
ARINO,5,0.0008
ADENIL,5,0.0008
ANAIR,5,0.0008
KIRLEY,5,0.0008
CLINTON,5,0.0008
KAUANY,5,0.0008
EDILON,5,0.0008
EDILMAR,5,0.0008
GLAICE,5,0.0008
CLODOMIRO,5,0.0008
AZEMAR,5,0.0008
MARYLAND,5,0.0008
MARYELLEN,5,0.0008
HELAYNE,5,0.0008
THAYNAN,5,0.0008
ROSEMIRO,5,0.0008
KARYN,5,0.0008
ELANNE,5,0.0008
ROSENDO,5,0.0008
EDIGAR,5,0.0008
EDIENE,5,0.0008
WILLANE,5,0.0008
ARIMAR,5,0.0008
HELENI,5,0.0008
MARUCIA,5,0.0008
HEINZ,5,0.0008
ELAINI,5,0.0008
RICARDINO,5,0.0008
UBAJARA,5,0.0008
EDILIO,5,0.0008
ADENILDO,5,0.0008
HEBERTH,5,0.0008
MICAELLA,5,0.0008
ROSELIS,5,0.0008
ROSELMA,5,0.0008
GLADIMIR,5,0.0008
KATHIANE,5,0.0008
ROSEMARA,5,0.0008
GLADEMIR,5,0.0008
THAYZA,5,0.0008
GLACY,5,0.0008
RICHELE,5,0.0008
CLOTILDES,5,0.0008
GLAYTON,5,0.0008
THIANA,5,0.0008
MITSUO,5,0.0008
GRAZIANO,5,0.0008
AINA,5,0.0008
RONDINELI,5,0.0008
RONDINELLE,5,0.0008
THYCIANE,5,0.0008
KETLYN,5,0.0008
ARISSON,5,0.0008
CLEONIR,5,0.0008
AIME,5,0.0008
ROGERES,5,0.0008
AILZA,5,0.0008
WIVIANE,5,0.0008
MAYA,5,0.0008
MAY,5,0.0008
AISHA,5,0.0008
CLEUSON,5,0.0008
RONARA,5,0.0008
MAYELIN,5,0.0008
THIANE,5,0.0008
RONALDE,5,0.0008
MAYLLA,5,0.0008
MAYRON,5,0.0008
TICIANNE,5,0.0008
WOLF,5,0.0008
ARISTOFANES,5,0.0008
CLERTON,5,0.0008
BRENDON,5,0.0008
MAYTE,5,0.0008
WLISSES,5,0.0008
ANALI,5,0.0008
ROMOLO,5,0.0008
TIARA,5,0.0008
GRASIANE,5,0.0008
GRASIELLA,5,0.0008
ANALINE,5,0.0008
ANALY,5,0.0008
EDVANE,5,0.0008
EDVANIO,5,0.0008
CLEON,5,0.0008
ROAN,5,0.0008
EDISIO,5,0.0008
MAURITANIA,5,0.0008
ALETHEIA,5,0.0008
ALETHEA,5,0.0008
THIBERIO,5,0.0008
EDIS,5,0.0008
HADSON,5,0.0008
HAIDEE,5,0.0008
GLEBSON,5,0.0008
KEILE,5,0.0008
HALANA,5,0.0008
KEIKO,5,0.0008
ROSALINO,5,0.0008
RIVANDA,5,0.0008
GLEIBER,5,0.0008
GLEICA,5,0.0008
MELLISSA,5,0.0008
KELIN,5,0.0008
CLEOMIR,5,0.0008
GUERINO,5,0.0008
EDLAINE,5,0.0008
MELINDA,5,0.0008
CLEOMARA,5,0.0008
BRENNDA,5,0.0008
GLEISSE,5,0.0008
MAVIAEL,5,0.0008
EDWAR,5,0.0008
ROQUELINE,5,0.0008
BARNABE,5,0.0008
WYARA,5,0.0008
BRENNER,5,0.0008
ROBELIA,5,0.0008
RHAYANE,5,0.0008
ELBIO,5,0.0008
WILLAMYS,5,0.0008
EDCLEIDE,5,0.0008
KACIA,5,0.0008
JUVINO,5,0.0008
MIRES,5,0.0008
WHITNEY,5,0.0008
ALEMAR,5,0.0008
ELENIZE,5,0.0008
YASKARA,5,0.0008
MARIVETE,5,0.0008
ELEOMAR,5,0.0008
ALAILSON,5,0.0008
HERNANDEZ,5,0.0008
MARIVAL,5,0.0008
ROSYANE,5,0.0008
THALYS,5,0.0008
HERONIDES,5,0.0008
ROSSI,5,0.0008
MIREILLE,5,0.0008
HELENILSON,5,0.0008
MARIZILDA,5,0.0008
MIRAMAR,5,0.0008
LAIRA,5,0.0008
KAILANE,5,0.0008
ELEMAR,5,0.0008
WICTOR,5,0.0008
MARKO,5,0.0008
AYSLAN,5,0.0008
ARMSTRONG,5,0.0008
ELENILCE,5,0.0008
KADJA,5,0.0008
MARJORI,5,0.0008
MARJORE,5,0.0008
MARJANA,5,0.0008
GILVANILDO,5,0.0008
GILVANICE,5,0.0008
MARIUS,5,0.0008
GILSANE,5,0.0008
MIRLANE,5,0.0008
CLAUDIONEI,5,0.0008
YCARO,5,0.0008
GILDOMAR,5,0.0008
IRISLENE,5,0.0008
ROZIANE,5,0.0008
RAYLA,5,0.0008
ELIADE,5,0.0008
GILDECI,5,0.0008
ELIAMAR,5,0.0008
YEDDA,5,0.0008
GILDAZIO,5,0.0008
LAUDEMIR,5,0.0008
GILCILENE,5,0.0008
THAINAN,5,0.0008
MARIS,5,0.0008
RAULINA,5,0.0008
GILDSON,5,0.0008
RAYLSON,5,0.0008
GILENE,5,0.0008
GILLIARD,5,0.0008
CRISTOFER,5,0.0008
REGIANA,5,0.0008
THALLITA,5,0.0008
HERVE,5,0.0008
EANES,5,0.0008
LARIANE,5,0.0008
CLAUDINETE,5,0.0008
JUSCIMAR,5,0.0008
AGNA,5,0.0008
GILIARDE,5,0.0008
GILIARD,5,0.0008
MIRTA,5,0.0008
GILIAN,5,0.0008
DYOGO,5,0.0008
MIRALVA,5,0.0008
ROSIRES,5,0.0008
EDEILSON,5,0.0008
ROSIMARA,5,0.0008
HELISON,5,0.0008
ELCIR,5,0.0008
ARLISSON,5,0.0008
HELLEM,5,0.0008
WILFREDO,5,0.0008
EDERVAL,5,0.0008
HELOINA,5,0.0008
RENILTON,5,0.0008
YANDRA,5,0.0008
MILENI,5,0.0008
EDERLAN,5,0.0008
MILENY,5,0.0008
WILDES,5,0.0008
ADELIR,5,0.0008
GIRLEY,5,0.0008
KURT,5,0.0008
KARINI,5,0.0008
ARILMA,5,0.0008
ARILTON,5,0.0008
CORACI,5,0.0008
GIULLIA,5,0.0008
ELCIA,5,0.0008
ABSALAO,5,0.0008
RHAMON,5,0.0008
KARLENE,5,0.0008
GIULIANE,5,0.0008
ROSIANY,5,0.0008
RHAFAEL,5,0.0008
MIKAELLA,5,0.0008
MIKAELLY,5,0.0008
BEETHOVEN,5,0.0008
CLEDISON,5,0.0008
REYNIER,5,0.0008
RENER,5,0.0008
BRIZA,5,0.0008
MIRALDO,5,0.0008
RENEIDE,5,0.0008
ROSINEA,5,0.0008
ARIELTON,5,0.0008
ARIELSON,5,0.0008
GIORGE,5,0.0008
ULY,5,0.0008
CRISLEY,5,0.0008
ARIELLA,5,0.0008
GIORDANI,5,0.0008
REINIER,5,0.0008
KAIRON,5,0.0008
YANN,5,0.0008
MARLEN,5,0.0008
KAIRO,5,0.0008
GIOCONDA,5,0.0008
LAILTON,5,0.0008
ELEANE,5,0.0008
GIOVAN,5,0.0008
ANADIA,5,0.0008
EDELWEISS,5,0.0008
RENATTA,5,0.0008
MILVIA,5,0.0008
MARLLON,5,0.0008
HENDRICK,5,0.0008
GIOVANO,5,0.0008
LAEL,5,0.0008
MINA,5,0.0008
LAFAYETTE,5,0.0008
KALINY,5,0.0008
HENRIQUETA,5,0.0008
REJANY,5,0.0008
ANADIR,5,0.0008
ROSINA,5,0.0008
MINORU,5,0.0008
ELYNE,5,0.0008
EDNEUZA,5,0.0008
ZENIR,5,0.0008
NICIANE,5,0.0008
JANIERE,5,0.0008
ALZIRO,5,0.0008
JESAIAS,5,0.0008
TAILANE,5,0.0008
MAERCIO,5,0.0008
DIELLE,5,0.0008
ENARA,5,0.0008
MAEVE,5,0.0008
JERUZA,5,0.0008
BENONE,5,0.0008
LUSIMAR,5,0.0008
EUDE,5,0.0008
DAWSON,5,0.0008
DELFINA,5,0.0008
IVELISE,5,0.0008
DELFINO,5,0.0008
LUCELIO,5,0.0008
EUCILENE,5,0.0008
IVANOEL,5,0.0008
SIGLIA,5,0.0008
AURENI,5,0.0008
CAROLAINE,5,0.0008
ATILLA,5,0.0008
ONDINA,5,0.0008
FARID,5,0.0008
TAILA,5,0.0008
WALTERSON,5,0.0008
ATOS,5,0.0008
IVONIR,5,0.0008
ALVINA,5,0.0008
IVONILSON,5,0.0008
JOCY,5,0.0008
LISIANI,5,0.0008
ADJALMA,5,0.0008
FABYOLA,5,0.0008
OLYMPIO,5,0.0008
DIDIMO,5,0.0008
JESICA,5,0.0008
SILENO,5,0.0008
IVOMAR,5,0.0008
ENEDINO,5,0.0008
FAGNA,5,0.0008
DAYANNY,5,0.0008
