PNOME,QTDE,PERC
JACQUELINE,454,0.0703
MARA,450,0.0697
MARLENE,439,0.0680
REINALDO,437,0.0677
HELOISA,435,0.0674
MIRIAM,435,0.0674
ALICE,435,0.0674
CARMEN,433,0.0671
DAVI,433,0.0671
LILIANE,427,0.0662
MURILO,419,0.0649
ANGELICA,418,0.0648
GLAUCIA,414,0.0641
REJANE,414,0.0641
ISABELLA,410,0.0635
EVERTON,408,0.0632
BERNARDO,407,0.0631
JOEL,407,0.0631
MOISES,406,0.0629
SAULO,404,0.0626
ANGELO,403,0.0624
INGRID,402,0.0623
CECILIA,401,0.0621
VIVIAN,398,0.0617
RAIMUNDA,397,0.0615
GEORGE,396,0.0614
RODOLFO,396,0.0614
CLEBER,392,0.0607
LIGIA,390,0.0604
MILENA,390,0.0604
CASSIA,389,0.0603
SELMA,387,0.0600
VICENTE,386,0.0598
JAIR,386,0.0598
BENEDITO,383,0.0593
JANE,382,0.0592
NADIA,380,0.0589
TALITA,378,0.0586
NILSON,377,0.0584
KARINE,376,0.0583
NILTON,374,0.0579
DAIANE,373,0.0578
FABIOLA,372,0.0576
EDMILSON,371,0.0575
MARISA,371,0.0575
LUCIENE,366,0.0567
KAREN,365,0.0565
SUELI,365,0.0565
BRENO,365,0.0565
OSVALDO,363,0.0562
MARILENE,362,0.0561
SUZANA,360,0.0558
SARAH,359,0.0556
LUCIO,358,0.0555
JAIRO,357,0.0553
TEREZINHA,356,0.0552
ORLANDO,356,0.0552
CASSIO,355,0.0550
JOSIANE,354,0.0548
LARA,352,0.0545
VIRGINIA,351,0.0544
LIDIANE,351,0.0544
ALLAN,349,0.0541
TEREZA,348,0.0539
ARTUR,348,0.0539
MONIQUE,347,0.0538
DIANA,347,0.0538
VALTER,345,0.0535
MIRIAN,345,0.0535
JEFERSON,343,0.0531
GISELLE,342,0.0530
DOMINGOS,342,0.0530
ELISA,341,0.0528
CHARLES,339,0.0525
EDER,337,0.0522
WASHINGTON,336,0.0521
FABIANE,335,0.0519
VALDIR,334,0.0517
KLEBER,333,0.0516
MICHEL,332,0.0514
LUISA,329,0.0510
TELMA,328,0.0508
DEBORAH,327,0.0507
YURI,325,0.0504
WESLEY,324,0.0502
MAIRA,323,0.0500
ALFREDO,319,0.0494
ARNALDO,315,0.0488
IZABEL,312,0.0483
ALEXANDRA,304,0.0471
JUSSARA,303,0.0469
IARA,302,0.0468
CATIA,302,0.0468
EDVALDO,301,0.0466
OTAVIO,300,0.0465
WILLIAN,299,0.0463
SUELY,298,0.0462
JAIME,297,0.0460
LIDIA,297,0.0460
