UNOME,QTDE
FONTENELE,12
BERNARDINO,12
MESSIAS,12
ASSUMPCAO,12
MARCELINO,12
CORTEZ,12
BITENCOURT,12
FIGUEREDO,11
BOAS,11
SILVERIO,11
RUAS,11
PESSANHA,11
REBELO,11
ALVAREZ,11
BASILIO,11
MODESTO,11
GALDINO,11
BELLO,11
FILGUEIRA,11
GABRIEL,11
VIEGAS,11
PEREZ,11
DIOGO,11
LAGES,11
JARDIM,11
CARLOS,11
HORTA,11
CALIXTO,11
MEIRELLES,11
ADRIANO,11
ESPINDOLA,10
DORNELLES,10
SEABRA,10
BRUNO,10
SCHMIDT,10
CANTO,10
ANGELO,10
GAIA,10
OSORIO,10
QUINTANILHA,10
VALENCA,10
PADUA,10
EDUARDO,10
AYRES,10
CAMILO,10
WEBER,10
ANSELMO,10
PRATA,10
GUILHERME,10
FROTA,10
RUFINO,10
DEUS,10
FEITOZA,10
VENANCIO,10
BASSO,10
THOMAZ,10
NEPOMUCENO,10
QUARESMA,10
ESTRELA,10
COLARES,10
RIBAS,10
LIMEIRA,10
ROMEIRO,9
CANTANHEDE,9
VASQUES,9
PRIMO,9
VITAL,9
PRAZERES,9
PALMA,9
GARCEZ,9
NETA,9
JUNQUEIRA,9
ROMERO,9
PATRIOTA,9
BRAGANCA,9
BELTRAO,9
KLEIN,9
QUIRINO,9
FERNANDEZ,9
NERI,9
PORTUGAL,9
TRAJANO,9
BATALHA,9
CINTRA,9
ZEFERINO,9
SENNA,9
MARCAL,9
LAVOR,9
CEZAR,9
SEVERO,9
LINO,9
MORALES,9
MEDINA,9
MALTA,9
LUSTOSA,9
DANIEL,9
CASSIANO,9
MAXIMO,9
MARRA,9
MAURICIO,9
ALBERTO,9
LOUZADA,9
SIMAS,9
LANDIM,9
VITORINO,9
XIMENES,8
AUGUSTO,8
SABOIA,8
ALVIM,8
SEVERINO,8
BALBINO,8
CUTRIM,8
VITOR,8
REGIS,8
ROBERTO,8
REBELLO,8
PAVAO,8
SATO,8
BIANCHI,8
JERONIMO,8
GALINDO,8
SCHMITT,8
LYRA,8
RITA,8
MARCONDES,8
CAMELO,8
AMBROSIO,8
LEANDRO,8
PONTE,8
FILHA,8
ROMAO,8
NONATO,8
SALOMAO,8
COTRIM,8
BONIFACIO,8
PICANCO,8
NAVES,8
RICARDO,8
GOMIDE,8
AVELAR,8
SACRAMENTO,8
CRESPO,8
SIMON,8
MAFRA,8
LOIOLA,8
BARBIERI,8
ALVARES,8
BESERRA,8
FILGUEIRAS,8
CONDE,8
ADAO,8
PALMEIRA,7
BENTES,7
RUSSO,7
GUERREIRO,7
CARRIJO,7
MONTES,7
HOFFMANN,7
LEMES,7
QUEIROS,7
CARREIRO,7
SORIANO,7
FRAGOSO,7
SMITH,7
BARROZO,7
GUALBERTO,7
VALADARES,7
GUTIERREZ,7
SILVESTRE,7
LIBORIO,7
BARREIRA,7
BIANCO,7
BARATA,7
FONTANA,7
VITORIA,7
TENORIO,7
NAVARRO,7
ROQUE,7
LONGO,7
FELICIANO,7
FLOR,7
RAIMUNDO,7
ANDRE,7
SOBREIRA,7
FEIJO,7
RODRIGUEZ,7
SEREJO,7
LUCIO,7
BAIA,7
VINHAS,7
ACOSTA,7
ORTEGA,7
TOME,7
GERALDO,7
FLORENTINO,7
MATEUS,7
BACELAR,7
MATHIAS,7
PEQUENO,7
BRAUN,7
CIRILO,7
VALERIO,7
SANDES,7
HONORATO,7
RORIZ,7
HONORIO,7
SANCHEZ,6
CAIXETA,6
OMENA,6
AMANCIO,6
REAL,6
ZAGO,6
NOLASCO,6
FLORIANO,6
FIDELIS,6
JUCA,6
PALHETA,6
MACENA,6
MACIEIRA,6
AMERICO,6
JORDAO,6
CASAGRANDE,6
SAITO,6
BULHOES,6
JACQUES,6
RABELLO,6
WERNECK,6
MADRUGA,6
