UNOME,QTDE,PERC
STOETERAU,3,0.0005
ZALUAR,3,0.0005
LANDGRAF,3,0.0005
OTTOBONI,3,0.0005
BRAMBATTI,3,0.0005
CUENCA,3,0.0005
RIVELLI,3,0.0005
CUCINELLI,3,0.0005
HINNAH,3,0.0005
HINO,3,0.0005
STIVANIN,3,0.0005
CUCCO,3,0.0005
HINOJOSA,3,0.0005
STOCHERO,3,0.0005
STOCKER,3,0.0005
MARINATTO,3,0.0005
PAVANATI,3,0.0005
ZAMBA,3,0.0005
MARGALHO,3,0.0005
LANGARO,3,0.0005
UTSUNOMIYA,3,0.0005
VACCHIANO,3,0.0005
DAHLKE,3,0.0005
HENRY,3,0.0005
VACCARO,3,0.0005
DAHDAH,3,0.0005
DAHAS,3,0.0005
NAGATO,3,0.0005
BOWENS,3,0.0005
HENTSCHKE,3,0.0005
BOY,3,0.0005
HENZEL,3,0.0005
STEGER,3,0.0005
STEGLICH,3,0.0005
ROCIO,3,0.0005
PIZZATO,3,0.0005
PAYAO,3,0.0005
STEIMBACH,3,0.0005
ROCHEDO,3,0.0005
ROCON,3,0.0005
BOVI,3,0.0005
BRAGAGLIA,3,0.0005
MARCONATO,3,0.0005
RODIGHERO,3,0.0005
ARBACH,3,0.0005
BOURSCHEIDT,3,0.0005
LANZER,3,0.0005
HENDERSON,3,0.0005
NAGAOKA,3,0.0005
DALARME,3,0.0005
RODELLA,3,0.0005
MINTO,3,0.0005
VAGHETTI,3,0.0005
HENKES,3,0.0005
STEFANUTO,3,0.0005
ARASAKI,3,0.0005
MINSKI,3,0.0005
HENNEBERG,3,0.0005
ARANOVICH,3,0.0005
ZAFFALON,3,0.0005
ROCHE,3,0.0005
DACACHE,3,0.0005
ARABORI,3,0.0005
NAGAYA,3,0.0005
MARENDINO,3,0.0005
BRACCO,3,0.0005
HERRERIAS,3,0.0005
PAVIOTTI,3,0.0005
PIZZUTI,3,0.0005
HERTZ,3,0.0005
HERVAL,3,0.0005
STENZEL,3,0.0005
HERVE,3,0.0005
APPELT,3,0.0005
STEPHANI,3,0.0005
STEPHANO,3,0.0005
APOSTOLO,3,0.0005
LANGBECKER,3,0.0005
ZAINA,3,0.0005
ROBBA,3,0.0005
MININ,3,0.0005
NAGIB,3,0.0005
MAREK,3,0.0005
CYRIACO,3,0.0005
HERMONT,3,0.0005
STEINHORST,3,0.0005
NAGAYAMA,3,0.0005
ZAGURY,3,0.0005
PAVONI,3,0.0005
STEINMACHER,3,0.0005
STELET,3,0.0005
PAVONE,3,0.0005
LANGONI,3,0.0005
UYEDA,3,0.0005
STELLO,3,0.0005
MARDINI,3,0.0005
CZAIKOWSKI,3,0.0005
ROBOREDO,3,0.0005
PAVLAK,3,0.0005
BRACARENSE,3,0.0005
CYRILO,3,0.0005
HIROTA,3,0.0005
ZAMBENEDETTI,3,0.0005
DEMARQUI,3,0.0005
UNO,3,0.0005
BREMER,3,0.0005
NAKANDAKARE,3,0.0005
BREMM,3,0.0005
STROPARO,3,0.0005
STROPPA,3,0.0005
STROPPER,3,0.0005
STROSCHEIN,3,0.0005
RIGHES,3,0.0005
ANJO,3,0.0005
MAROTO,3,0.0005
UNGER,3,0.0005
BRENDLER,3,0.0005
ANISIO,3,0.0005
LAMARE,3,0.0005
BRENER,3,0.0005
RIFF,3,0.0005
BRENNEISEN,3,0.0005
MAROSO,3,0.0005
COUSIN,3,0.0005
LAMARCA,3,0.0005
ZAMPAR,3,0.0005
MINARINI,3,0.0005
URA,3,0.0005
HOJI,3,0.0005
NOMAN,3,0.0005
BREI,3,0.0005
MINARI,3,0.0005
COVELLO,3,0.0005
STRINI,3,0.0005
COVALESKI,3,0.0005
MARONESE,3,0.0005
COUY,3,0.0005
ANNONI,3,0.0005
COUTRIM,3,0.0005
HOLETZ,3,0.0005
RIGOLIN,3,0.0005
ZAMPA,3,0.0005
COUTEIRO,3,0.0005
NAKASATO,3,0.0005
RIETH,3,0.0005
NAKACHIMA,3,0.0005
RIEDNER,3,0.0005
MARQUEZINI,3,0.0005
RIECHTER,3,0.0005
RIECHI,3,0.0005
UMEZU,3,0.0005
UMETSU,3,0.0005
HORBE,3,0.0005
MARQUINI,3,0.0005
RICOLDI,3,0.0005
HORIKAWA,3,0.0005
ANGELUCI,3,0.0005
BREZOLIN,3,0.0005
BRIA,3,0.0005
CORTEZZI,3,0.0005
ZANCHETTIN,3,0.0005
ANGELINO,3,0.0005
HORNER,3,0.0005
ANGELIN,3,0.0005
ANGOTI,3,0.0005
PATZSCH,3,0.0005
BRENNY,3,0.0005
MIMOSO,3,0.0005
STUCKERT,3,0.0005
RIESGO,3,0.0005
COSTENARO,3,0.0005
COSTELLA,3,0.0005
LAMAR,3,0.0005
COSTANTIN,3,0.0005
UNES,3,0.0005
NAKASONE,3,0.0005
MARQUETI,3,0.0005
RIEGER,3,0.0005
UNE,3,0.0005
BRESCIA,3,0.0005
ZANA,3,0.0005
STULP,3,0.0005
MIN,3,0.0005
COSSETIN,3,0.0005
MIMURA,3,0.0005
BREHM,3,0.0005
MARONA,3,0.0005
URANI,3,0.0005
NAKAGOMI,3,0.0005
HO,3,0.0005
MINELLO,3,0.0005
CRISTELI,3,0.0005
NAKAHARA,3,0.0005
LAMIM,3,0.0005
BRATKOWSKI,3,0.0005
RIQUE,3,0.0005
CRISSAFF,3,0.0005
CRISPINO,3,0.0005
BRATZ,3,0.0005
LAMI,3,0.0005
URIBE,3,0.0005
ANTICO,3,0.0005
RIOTINTO,3,0.0005
HOCKMULLER,3,0.0005
CRIADO,3,0.0005
MARKOSKI,3,0.0005
LAMOGLIA,3,0.0005
PLECH,3,0.0005
RIGUE,3,0.0005
CRISTOFARO,3,0.0005
MARINUS,3,0.0005
BRANDOLT,3,0.0005
CRIZOSTIMO,3,0.0005
BRANDSTETTER,3,0.0005
LAMPUGNANI,3,0.0005
NONAKA,3,0.0005
CRIVELLI,3,0.0005
BRANGIONI,3,0.0005
URRUTH,3,0.0005
BRANTES,3,0.0005
ANTONACCIO,3,0.0005
STORER,3,0.0005
BRAQUEHAIS,3,0.0005
MARIOZI,3,0.0005
CRISTOVAM,3,0.0005
CRISTOFOLINI,3,0.0005
URPIA,3,0.0005
HODGSON,3,0.0005
LAMENHA,3,0.0005
MARKS,3,0.0005
PAULON,3,0.0005
RIJO,3,0.0005
CREAO,3,0.0005
MAROBIN,3,0.0005
STREHL,3,0.0005
LAMBERTUCCI,3,0.0005
URBANETZ,3,0.0005
MAROCCOLO,3,0.0005
MAROCHI,3,0.0005
HOFFMAN,3,0.0005
NAKAMATSU,3,0.0005
BREGAGNOL,3,0.0005
LAMBERTS,3,0.0005
MINASI,3,0.0005
HOFMEISTER,3,0.0005
COZZI,3,0.0005
HOHER,3,0.0005
BREGENSE,3,0.0005
HOEVELER,3,0.0005
STREB,3,0.0005
HOERLLE,3,0.0005
OURA,3,0.0005
MINELLA,3,0.0005
BRAUNSTEIN,3,0.0005
CRESTANA,3,0.0005
RINCOSKI,3,0.0005
RINCO,3,0.0005
MINE,3,0.0005
ANTELO,3,0.0005
HOELLER,3,0.0005
PAULITSCH,3,0.0005
RIMOLO,3,0.0005
NAKAJUM,3,0.0005
HOEPERS,3,0.0005
CREMONESI,3,0.0005
STRAUCH,3,0.0005
MARMO,3,0.0005
MINATTI,3,0.0005
ARBACHE,3,0.0005
NAGAMATSU,3,0.0005
DALCHIAVON,3,0.0005
MIRITZ,3,0.0005
DEFENDI,3,0.0005
MAO,3,0.0005
RONCHETTI,3,0.0005
DEDE,3,0.0005
BORNEMANN,3,0.0005
HANASHIRO,3,0.0005
OSTERNE,3,0.0005
BORNIA,3,0.0005
OSTERNO,3,0.0005
YOSHIMOTO,3,0.0005
SPINI,3,0.0005
DECKERS,3,0.0005
DECKER,3,0.0005
SPINOSA,3,0.0005
PEDERNEIRAS,3,0.0005
DECHANDT,3,0.0005
ARLINDO,3,0.0005
HAMOY,3,0.0005
SPIELMANN,3,0.0005
BOROS,3,0.0005
PITANGUEIRA,3,0.0005
HAMEISTER,3,0.0005
PEDRACA,3,0.0005
BORILLE,3,0.0005
HAMERSKI,3,0.0005
DEINA,3,0.0005
DEIMLING,3,0.0005
VALLES,3,0.0005
VALLERIUS,3,0.0005
HAMES,3,0.0005
DEGRAZIA,3,0.0005
VALLEJOS,3,0.0005
HAMMARSTROM,3,0.0005
SPEZIA,3,0.0005
PEDO,3,0.0005
VALLANDRO,3,0.0005
ARMILIATO,3,0.0005
SPIEKER,3,0.0005
SPIRITO,3,0.0005
LATTANZI,3,0.0005
HELUY,3,0.0005
DAZZI,3,0.0005
DAZA,3,0.0005
HARDER,3,0.0005
DAYER,3,0.0005
ARINOS,3,0.0005
YU,3,0.0005
SPREAFICO,3,0.0005
VALESE,3,0.0005
BORSANI,3,0.0005
DAVINO,3,0.0005
ROMANOWSKI,3,0.0005
DAVIDSON,3,0.0005
NACER,3,0.0005
ROMANHOL,3,0.0005
LASS,3,0.0005
DAVANZO,3,0.0005
ROMANELLO,3,0.0005
SPYRIDES,3,0.0005
PITELLI,3,0.0005
VENDRAMEL,3,0.0005
HANNECKER,3,0.0005
VALIATE,3,0.0005
HANNEMANN,3,0.0005
BOROWSKY,3,0.0005
DEBUS,3,0.0005
NOUGA,3,0.0005
PEDATELLA,3,0.0005
MARACAIPE,3,0.0005
DEBIEN,3,0.0005
ROMER,3,0.0005
ROMEO,3,0.0005
MARACCI,3,0.0005
DEBATIN,3,0.0005
HARAGUSHIKU,3,0.0005
BORRELLI,3,0.0005
HARAKI,3,0.0005
MARAES,3,0.0005
LATERZA,3,0.0005
ROMARO,3,0.0005
MANUEL,3,0.0005
ARNEMANN,3,0.0005
BORGONHONI,3,0.0005
MANNA,3,0.0005
PEDRETTI,3,0.0005
DELMONTE,3,0.0005
DELMONT,3,0.0005
PISSINATI,3,0.0005
BORDINHAO,3,0.0005
ROSCHILDT,3,0.0005
ROSCHILD,3,0.0005
LAURINO,3,0.0005
SPADER,3,0.0005
HAICKEL,3,0.0005
PISSININ,3,0.0005
DELLATORRE,3,0.0005
MYLIUS,3,0.0005
MYNSSEN,3,0.0005
SPADOTTO,3,0.0005
ROSALMEIDA,3,0.0005
VALSECHI,3,0.0005
ARRIAL,3,0.0005
PISSETTI,3,0.0005
RONQUI,3,0.0005
VALVASSORI,3,0.0005
DEMARQUE,3,0.0005
HADJ,3,0.0005
HADLICH,3,0.0005
MANIERO,3,0.0005
BORCHARTT,3,0.0005
MANIKA,3,0.0005
ROSELLI,3,0.0005
HAERTER,3,0.0005
ARRIECHE,3,0.0005
SOUTINHO,3,0.0005
DELVAUX,3,0.0005
BORDE,3,0.0005
MANKE,3,0.0005
PEDRI,3,0.0005
HAFFNER,3,0.0005
DELPHINO,3,0.0005
DELPHIM,3,0.0005
MANSILHA,3,0.0005
DELLACQUA,3,0.0005
MANSILLA,3,0.0005
DELIZA,3,0.0005
SPAZIANI,3,0.0005
DELBEN,3,0.0005
ROPELATO,3,0.0005
VALOES,3,0.0005
HALLWASS,3,0.0005
SPEGIORIN,3,0.0005
HALPERN,3,0.0005
MANTOANELLI,3,0.0005
DELATTI,3,0.0005
DELARETI,3,0.0005
MANTOVANELI,3,0.0005
DELANI,3,0.0005
SPENTHOF,3,0.0005
HAMAMOTO,3,0.0005
HAMAMURA,3,0.0005
DELALIBERA,3,0.0005
SPERANCA,3,0.0005
ROPKE,3,0.0005
HALLBERG,3,0.0005
AROCHA,3,0.0005
BORGATTO,3,0.0005
SPALENZA,3,0.0005
ROSADAS,3,0.0005
MANSOR,3,0.0005
BOREM,3,0.0005
HAK,3,0.0005
RORATTO,3,0.0005
VALOTTO,3,0.0005
ROQUETTE,3,0.0005
DELCOLLI,3,0.0005
HALASZ,3,0.0005
AROSA,3,0.0005
HALIK,3,0.0005
SPARAPANI,3,0.0005
ARONI,3,0.0005
SPARREMBERGER,3,0.0005
DELDUQUE,3,0.0005
YUAN,3,0.0005
HARTUNG,3,0.0005
PECLAT,3,0.0005
ARDISSON,3,0.0005
BOTAMEDI,3,0.0005
VALCACIO,3,0.0005
HEIDEN,3,0.0005
BOTARO,3,0.0005
HEIDERICH,3,0.0005
PIVATO,3,0.0005
STANSKY,3,0.0005
HEILBUTH,3,0.0005
HEILMANN,3,0.0005
DALTROZO,3,0.0005
DALTON,3,0.0005
ROGER,3,0.0005
VALARINI,3,0.0005
HEIMFARTH,3,0.0005
ROGALSKI,3,0.0005
MARCHIORETTO,3,0.0005
HEINZELMANN,3,0.0005
VALCANOVER,3,0.0005
MIORANZA,3,0.0005
STANCIOLI,3,0.0005
BOSZCZOWSKI,3,0.0005
DANCIGER,3,0.0005
ROHENKOHL,3,0.0005
PAZUCH,3,0.0005
AREDE,3,0.0005
MIQUELANTI,3,0.0005
ROHEM,3,0.0005
MIOZZO,3,0.0005
DAMINI,3,0.0005
HEDLER,3,0.0005
DAMINELLI,3,0.0005
HEEMANN,3,0.0005
BOSSA,3,0.0005
MIOTTI,3,0.0005
OSWALD,3,0.0005
BOSSATO,3,0.0005
ROHDEN,3,0.0005
ARDUIN,3,0.0005
DALMONECH,3,0.0005
BOTTIN,3,0.0005
HEINZEN,3,0.0005
DALMEIDA,3,0.0005
BOURBON,3,0.0005
VAILLANT,3,0.0005
STECKEL,3,0.0005
DALFIOR,3,0.0005
STECKELBERG,3,0.0005
PAZETTO,3,0.0005
VAILATI,3,0.0005
VAILANT,3,0.0005
HELOU,3,0.0005
PAZETO,3,0.0005
DALDEGAN,3,0.0005
LAPAGESSE,3,0.0005
ARBOES,3,0.0005
ARBO,3,0.0005
PAZELLO,3,0.0005
DALCOLMO,3,0.0005
DALCOL,3,0.0005
ROECKER,3,0.0005
STAVISKI,3,0.0005
STAVALE,3,0.0005
DALMAGRO,3,0.0005
DALMEDICO,3,0.0005
BOTTO,3,0.0005
ZACCARO,3,0.0005
DALMAZ,3,0.0005
HEISLER,3,0.0005
DALMASCHIO,3,0.0005
DALMARCO,3,0.0005
MARCIAO,3,0.0005
ROEHRIG,3,0.0005
DALLO,3,0.0005
ARCELINO,3,0.0005
DALLEMOLE,3,0.0005
ARCEBISPO,3,0.0005
MINUZZO,3,0.0005
HELDWEIN,3,0.0005
ARCARO,3,0.0005
NADOLNY,3,0.0005
BOSKA,3,0.0005
BORTMAN,3,0.0005
DARZE,3,0.0005
PECHIR,3,0.0005
ARIDE,3,0.0005
HASSAN,3,0.0005
NOTAROBERTO,3,0.0005
BORTOLOTI,3,0.0005
MARATIA,3,0.0005
BORTOLOTO,3,0.0005
YUNG,3,0.0005
DARONCO,3,0.0005
DAROLT,3,0.0005
NOTARI,3,0.0005
DAROIT,3,0.0005
DARODA,3,0.0005
HATADA,3,0.0005
BORTOLUZI,3,0.0005
PITT,3,0.0005
HATANAKA,3,0.0005
BORTOLLI,3,0.0005
PITON,3,0.0005
BOSIO,3,0.0005
ROMAGNOLI,3,0.0005
DAUMAS,3,0.0005
MARANHA,3,0.0005
HARTZ,3,0.0005
LASNEAUX,3,0.0005
MARANHO,3,0.0005
MARANI,3,0.0005
VALENTINO,3,0.0005
SCHELP,3,0.0005
NACHTIGAL,3,0.0005
BORTOLATO,3,0.0005
DATTOLI,3,0.0005
ARIETE,3,0.0005
ARIENZO,3,0.0005
BORTOLATTO,3,0.0005
NOTO,3,0.0005
DASSOLER,3,0.0005
STAATS,3,0.0005
MARBACK,3,0.0005
ARGILES,3,0.0005
LARRUBIA,3,0.0005
PITTELLA,3,0.0005
HAUSER,3,0.0005
AREOSA,3,0.0005
ROITBERG,3,0.0005
DANILEVICZ,3,0.0005
NOSE,3,0.0005
VALDO,3,0.0005
MARCELOS,3,0.0005
DANIELE,3,0.0005
PAZZINI,3,0.0005
STAMFORD,3,0.0005
DANGUI,3,0.0005
HAYNE,3,0.0005
PITUBA,3,0.0005
DANGELIS,3,0.0005
DANESI,3,0.0005
PITZ,3,0.0005
MARCH,3,0.0005
PEARCE,3,0.0005
VALEIKO,3,0.0005
HAUPENTHAL,3,0.0005
PECCI,3,0.0005
HATSUMURA,3,0.0005
BORTONE,3,0.0005
LARROYD,3,0.0005
VALENGA,3,0.0005
DARDENGO,3,0.0005
DARDE,3,0.0005
LARROSA,3,0.0005
NADALETTI,3,0.0005
MARCASSA,3,0.0005
LARROQUE,3,0.0005
BOSAIPO,3,0.0005
LARREA,3,0.0005
LARRE,3,0.0005
DANZIGER,3,0.0005
DANZIATO,3,0.0005
HAUER,3,0.0005
GRIGOLON,3,0.0005
OBADIA,3,0.0005
AVELLO,3,0.0005
OMIDO,3,0.0005
GARBERO,3,0.0005
MOSQUERA,3,0.0005
FICK,3,0.0005
SAUERBRONN,3,0.0005
LION,3,0.0005
SCOFIELD,3,0.0005
VINHOLI,3,0.0005
VINHOLES,3,0.0005
BARIZON,3,0.0005
FIAIS,3,0.0005
SAUD,3,0.0005
OMINE,3,0.0005
LUCIANELLI,3,0.0005
WEFFORT,3,0.0005
BARISON,3,0.0005
WEGERMANN,3,0.0005
BERES,3,0.0005
BARILLI,3,0.0005
GARBELOTTI,3,0.0005
LUCHINI,3,0.0005
SAUNIER,3,0.0005
BERCOT,3,0.0005
OKABAYASHI,3,0.0005
FILETI,3,0.0005
LIPPO,3,0.0005
SCHWENDLER,3,0.0005
BARONCINI,3,0.0005
BARO,3,0.0005
SCHWINDEN,3,0.0005
GANTOIS,3,0.0005
OMAR,3,0.0005
BERBER,3,0.0005
FIGUEIRAS,3,0.0005
SAUTHIER,3,0.0005
SAUTCHUK,3,0.0005
SAUT,3,0.0005
GARANTIZADO,3,0.0005
LIPARIZI,3,0.0005
BARLETTE,3,0.0005
SCOMPARIM,3,0.0005
FIACO,3,0.0005
WEINERT,3,0.0005
PERUSSI,3,0.0005
BERIA,3,0.0005
OMURA,3,0.0005
BERILLI,3,0.0005
MONTAGNOLI,3,0.0005
BERKENBROCK,3,0.0005
GARRETO,3,0.0005
WEIDLICH,3,0.0005
BARDDAL,3,0.0005
PICCINATO,3,0.0005
LUCIEN,3,0.0005
LUDERS,3,0.0005
WEIL,3,0.0005
BERLINCK,3,0.0005
BERLINI,3,0.0005
BERLITZ,3,0.0005
LINDQUIST,3,0.0005
MOTERLE,3,0.0005
BARCELLAR,3,0.0005
GARMUS,3,0.0005
FERRINI,3,0.0005
BERGONCI,3,0.0005
SATER,3,0.0005
FEY,3,0.0005
FEULA,3,0.0005
BARI,3,0.0005
VINECKY,3,0.0005
WEHRMEISTER,3,0.0005
GARGANO,3,0.0005
VINCO,3,0.0005
GARGIONI,3,0.0005
FESTA,3,0.0005
LINSINGEN,3,0.0005
MOSSON,3,0.0005
BERGHETTI,3,0.0005
VINCENT,3,0.0005
FERRUGINI,3,0.0005
SCOVINO,3,0.0005
BERGOLD,3,0.0005
GARIN,3,0.0005
LUCCHETTI,3,0.0005
BARQUETE,3,0.0005
SCHWEDE,3,0.0005
SCHUNK,3,0.0005
GALLIANO,3,0.0005
GALLICCHIO,3,0.0005
BENEVENUTE,3,0.0005
FIORUSSI,3,0.0005
BARSI,3,0.0005
GALLOIS,3,0.0005
OLMI,3,0.0005
SCHUNEMANN,3,0.0005
FIORILLO,3,0.0005
SCHWARZBOLD,3,0.0005
SBEGHEN,3,0.0005
FIORETTI,3,0.0005
FIORESI,3,0.0005
SBARDELLA,3,0.0005
SBARAINI,3,0.0005
LISKA,3,0.0005
SBANO,3,0.0005
BENIN,3,0.0005
BARSOTTINI,3,0.0005
MORTIMER,3,0.0005
SBRISSA,3,0.0005
VITALE,3,0.0005
MORTAGUA,3,0.0005
LOWE,3,0.0005
LOWEN,3,0.0005
BENDLIN,3,0.0005
LITTIG,3,0.0005
FIUSA,3,0.0005
MONTIJO,3,0.0005
BENEDET,3,0.0005
LOYO,3,0.0005
BENEDETI,3,0.0005
SCHUHLI,3,0.0005
LOZADA,3,0.0005
PIAO,3,0.0005
BENEDUZI,3,0.0005
MONTIBELLER,3,0.0005
BARTEL,3,0.0005
BENETI,3,0.0005
VISIOLI,3,0.0005
VISINTIN,3,0.0005
FIORANI,3,0.0005
GAMBERINI,3,0.0005
LUCARELLI,3,0.0005
SCHWAMBACK,3,0.0005
GAMBI,3,0.0005
MOSCATO,3,0.0005
SCHWAN,3,0.0005
BARREIRAS,3,0.0005
SCHWANTES,3,0.0005
VIRMOND,3,0.0005
BARREDA,3,0.0005
SCHWANZ,3,0.0005
GAMERMAN,3,0.0005
FILIPPON,3,0.0005
GAMERMANN,3,0.0005
GAMEZ,3,0.0005
SAVIOLI,3,0.0005
MOSCHINI,3,0.0005
FILIPAK,3,0.0005
FINAMOR,3,0.0005
GAMBATI,3,0.0005
LUBAS,3,0.0005
MONTEMEZZO,3,0.0005
FIOD,3,0.0005
WATANUKI,3,0.0005
BARRIQUELLO,3,0.0005
BENJO,3,0.0005
LUBE,3,0.0005
BARRIO,3,0.0005
LUBECK,3,0.0005
LUBENOW,3,0.0005
OLSSON,3,0.0005
SCHVARTZ,3,0.0005
WATHIER,3,0.0005
WATRIN,3,0.0005
WATSON,3,0.0005
BENNEMANN,3,0.0005
FINAZZI,3,0.0005
FINATO,3,0.0005
BENNETT,3,0.0005
BARCELAR,3,0.0005
BARCANTE,3,0.0005
FLAIN,3,0.0005
BERTOLLI,3,0.0005
LUMERTZ,3,0.0005
FEDER,3,0.0005
BERTOLA,3,0.0005
FEDECHEM,3,0.0005
MOULAZ,3,0.0005
GEISEL,3,0.0005
BERTOLAZI,3,0.0005
VILAROUCA,3,0.0005
LIMAO,3,0.0005
BAO,3,0.0005
BAPTISTON,3,0.0005
FAZZIONI,3,0.0005
BAPTESTINI,3,0.0005
GELATI,3,0.0005
SAPATA,3,0.0005
GELINSKI,3,0.0005
LIGUORI,3,0.0005
LIGORIO,3,0.0005
BERTOGLIO,3,0.0005
GEHM,3,0.0005
GEHLING,3,0.0005
PICININI,3,0.0005
WENDEL,3,0.0005
SARAT,3,0.0005
PERTEL,3,0.0005
LUKASZCZYK,3,0.0005
ONETTA,3,0.0005
FEIER,3,0.0005
BARANCELLI,3,0.0005
FEIBER,3,0.0005
BARALE,3,0.0005
FEHR,3,0.0005
GEBERT,3,0.0005
SARAH,3,0.0005
SARAGOCA,3,0.0005
SEGRE,3,0.0005
BARACUHY,3,0.0005
BERTOCCO,3,0.0005
BARACAT,3,0.0005
FAZENDA,3,0.0005
FAZAN,3,0.0005
SEBASTIANI,3,0.0005
VIGORITO,3,0.0005
BERUTTI,3,0.0005
GENOVEZ,3,0.0005
SEKIGUCHI,3,0.0005
ONNIS,3,0.0005
BANDO,3,0.0005
FAULSTICH,3,0.0005
LUNIERE,3,0.0005
BANDIM,3,0.0005
PERRY,3,0.0005
MOURATO,3,0.0005
BANDARRA,3,0.0005
GEOCZE,3,0.0005
FATEL,3,0.0005
GEOFFROY,3,0.0005
FASSIO,3,0.0005
FASSANI,3,0.0005
PICONI,3,0.0005
SANTILLI,3,0.0005
BANHARA,3,0.0005
GENNARI,3,0.0005
PICOLLI,3,0.0005
SANTORIO,3,0.0005
MOURE,3,0.0005
VILARDO,3,0.0005
SEIMETZ,3,0.0005
MOURELLE,3,0.0005
FAVRE,3,0.0005
FAVORETTO,3,0.0005
BANNWART,3,0.0005
LIGABUE,3,0.0005
SEITZ,3,0.0005
GENELHU,3,0.0005
FAVERSANI,3,0.0005
MONGELLI,3,0.0005
PICKLER,3,0.0005
FAVERET,3,0.0005
VILANO,3,0.0005
VILANI,3,0.0005
WERMUTH,3,0.0005
BERTELI,3,0.0005
SARAVIA,3,0.0005
SEGAT,3,0.0005
SECUNDINO,3,0.0005
PERUFO,3,0.0005
BERNARTT,3,0.0005
LINDENMEYER,3,0.0005
GATI,3,0.0005
BERND,3,0.0005
SARRAFF,3,0.0005
PERUCHETTI,3,0.0005
SARRAF,3,0.0005
FER,3,0.0005
SARAVY,3,0.0005
GATTA,3,0.0005
SARPI,3,0.0005
LINDENBERG,3,0.0005
LINCZUK,3,0.0005
BERNSTEIN,3,0.0005
BARBASTEFANO,3,0.0005
FENATO,3,0.0005
PERUCCHI,3,0.0005
MONSALVE,3,0.0005
SARRO,3,0.0005
GASTALDI,3,0.0005
BARBETA,3,0.0005
VILLENA,3,0.0005
VILLEGAS,3,0.0005
BERNABE,3,0.0005
FERRA,3,0.0005
GASPARONI,3,0.0005
LUDUVICO,3,0.0005
GASPARY,3,0.0005
FEROLDI,3,0.0005
FERNEDA,3,0.0005
SARTORATO,3,0.0005
GASPERAZZO,3,0.0005
WEINMANN,3,0.0005
WEINTRAUB,3,0.0005
SARTINI,3,0.0005
FERMO,3,0.0005
BARBIERE,3,0.0005
BARBETO,3,0.0005
SARMIENTO,3,0.0005
BERRETTA,3,0.0005
FELTRIM,3,0.0005
FELINI,3,0.0005
FELICORI,3,0.0005
BERTAGNA,3,0.0005
VILLAFAN,3,0.0005
VILLACORTA,3,0.0005
WELLEN,3,0.0005
GAWRYSZEWSKI,3,0.0005
WELLNER,3,0.0005
SEGA,3,0.0005
BERTASI,3,0.0005
SARDELA,3,0.0005
GAZE,3,0.0005
SEGALIN,3,0.0005
GAZEL,3,0.0005
SARCINELLI,3,0.0005
MONKS,3,0.0005
PICHLER,3,0.0005
BERTE,3,0.0005
SARDO,3,0.0005
BERTACHI,3,0.0005
WEITZEL,3,0.0005
FELIPINI,3,0.0005
BERRI,3,0.0005
LINCOLN,3,0.0005
FELLOWS,3,0.0005
BARBAR,3,0.0005
MOTT,3,0.0005
SARGENTINI,3,0.0005
WELKER,3,0.0005
VILLALOBOS,3,0.0005
BARBADO,3,0.0005
GAVI,3,0.0005
SEEHAUSEN,3,0.0005
SARETTO,3,0.0005
GAVILAN,3,0.0005
SEELIG,3,0.0005
FELIPPI,3,0.0005
SARETTA,3,0.0005
GAVINHO,3,0.0005
BARTHOLOMEU,3,0.0005
LOWANDE,3,0.0005
VIGNOL,3,0.0005
BATTAGLIA,3,0.0005
OLENDZKI,3,0.0005
BEIER,3,0.0005
FRANCOIS,3,0.0005
SCHINDLER,3,0.0005
FRANCISCONI,3,0.0005
SCHINEIDER,3,0.0005
WALGER,3,0.0005
FULBER,3,0.0005
FRANCISCHETTI,3,0.0005
BEIRO,3,0.0005
LOGES,3,0.0005
FRANCISCATTO,3,0.0005
MORIS,3,0.0005
SCHAEDLER,3,0.0005
MORCELLI,3,0.0005
FRANCIONI,3,0.0005
PETROCELI,3,0.0005
BEIRAL,3,0.0005
SCHINCARIOL,3,0.0005
BEHRENS,3,0.0005
FUKUMOTO,3,0.0005
BATTESINI,3,0.0005
BEGA,3,0.0005
FRANZON,3,0.0005
MORIM,3,0.0005
FRANZO,3,0.0005
LOJA,3,0.0005
BEGGIORA,3,0.0005
LORENTE,3,0.0005
BATTISTON,3,0.0005
MORELATTO,3,0.0005
BATTISTEL,3,0.0005
SCHIMIN,3,0.0005
FUKAGAWA,3,0.0005
LORENZET,3,0.0005
LORENZETT,3,0.0005
FRANQUEIRA,3,0.0005
OKUMOTO,3,0.0005
SCHAFHAUSER,3,0.0005
BEIRIZ,3,0.0005
SCHADE,3,0.0005
FURUTA,3,0.0005
FRACAROLLI,3,0.0005
FRAGAS,3,0.0005
BATH,3,0.0005
FURMAN,3,0.0005
PETRIBU,3,0.0005
SCHLEICH,3,0.0005
SCHLEMMER,3,0.0005
BATAUS,3,0.0005
OLIBONE,3,0.0005
PFEIFFER,3,0.0005
FUMES,3,0.0005
FRACAO,3,0.0005
BELATO,3,0.0005
OKOSHI,3,0.0005
VOLPIN,3,0.0005
LOCK,3,0.0005
FOTI,3,0.0005
FURUIE,3,0.0005
FOSSARI,3,0.0005
BATISTAO,3,0.0005
PFALTZGRAFF,3,0.0005
FRAILE,3,0.0005
FRAINER,3,0.0005
LORIATO,3,0.0005
FUMIAN,3,0.0005
