UNOME,QTDE,PERC
LOBATO,262,0.0406
GOUVEIA,261,0.0404
PEDROSA,259,0.0401
ANNA,257,0.0398
BOMFIM,255,0.0395
DOURADO,254,0.0394
LEITAO,254,0.0394
MULLER,251,0.0389
BERNARDES,248,0.0384
SERRA,247,0.0383
LUCAS,246,0.0381
BRAZ,243,0.0376
PEREZ,242,0.0375
MATIAS,240,0.0372
MARIANO,238,0.0369
PADILHA,235,0.0364
NOVAES,234,0.0363
BENTO,230,0.0356
BISPO,230,0.0356
MEIRA,230,0.0356
ARANTES,226,0.0350
WANDERLEY,225,0.0349
MEIRELES,224,0.0347
JARDIM,224,0.0347
MARTINEZ,222,0.0344
SALLES,222,0.0344
MENESES,222,0.0344
BARCELOS,221,0.0342
GONZALEZ,220,0.0341
ROSSI,219,0.0339
PEDROSO,217,0.0336
SARMENTO,217,0.0336
RODRIGUEZ,217,0.0336
PORTELA,215,0.0333
LESSA,213,0.0330
LINHARES,213,0.0330
COIMBRA,212,0.0328
PENA,211,0.0327
VALLE,210,0.0325
SCHNEIDER,209,0.0324
MORENO,208,0.0322
GODOY,207,0.0321
LUIZ,204,0.0316
FIGUEIRA,204,0.0316
SALGADO,202,0.0313
NORONHA,201,0.0311
DOMINGOS,201,0.0311
LUNA,200,0.0310
GOIS,199,0.0308
BONFIM,198,0.0307
VICENTE,198,0.0307
ELIAS,196,0.0304
ROSARIO,195,0.0302
SCHMIDT,192,0.0297
NERY,191,0.0296
GONZAGA,190,0.0294
AFONSO,188,0.0291
FERRARI,187,0.0290
HENRIQUES,187,0.0290
BRITTO,186,0.0288
CASTILHO,186,0.0288
SALDANHA,186,0.0288
VENTURA,185,0.0287
BERNARDO,184,0.0285
JUNQUEIRA,183,0.0284
GUSMAO,183,0.0284
PAULO,182,0.0282
LAGO,181,0.0280
FORTES,180,0.0279
CESAR,179,0.0277
RIBAS,178,0.0276
QUADROS,177,0.0274
BARCELLOS,175,0.0271
LARA,173,0.0268
MIGUEL,171,0.0265
ALEXANDRE,171,0.0265
PENHA,169,0.0262
SOBRAL,168,0.0260
CARDOZO,168,0.0260
NOVAIS,167,0.0259
DEUS,166,0.0257
BRUM,166,0.0257
ROLIM,165,0.0256
PANTOJA,165,0.0256
CALDEIRA,165,0.0256
MADEIRA,164,0.0254
GOUVEA,164,0.0254
MOURAO,164,0.0254
CARLOS,163,0.0253
MATA,162,0.0251
VIEGAS,161,0.0249
FERNANDEZ,159,0.0246
PARENTE,159,0.0246
PAULINO,158,0.0245
CORTES,158,0.0245
ANA,157,0.0243
CAMPELO,157,0.0243
AUGUSTO,155,0.0240
SODRE,155,0.0240
MASCARENHAS,155,0.0240
MONTE,154,0.0239
UCHOA,154,0.0239
CUSTODIO,152,0.0235
TENORIO,152,0.0235
GONDIM,151,0.0234
SACRAMENTO,150,0.0232
BESSA,150,0.0232
REBOUCAS,147,0.0228
SEIXAS,146,0.0226
MONTENEGRO,145,0.0225
MARINS,145,0.0225
NETA,142,0.0220
SIMAO,142,0.0220
FELIPE,141,0.0218
BECKER,141,0.0218
LEANDRO,140,0.0217
TEODORO,139,0.0215
KLEIN,139,0.0215
LEMES,138,0.0214
BOAS,137,0.0212
AIRES,137,0.0212
GURGEL,136,0.0211
ESPINDOLA,135,0.0209
DELGADO,135,0.0209
FIALHO,135,0.0209
BITENCOURT,134,0.0208
TERRA,134,0.0208
PICANCO,134,0.0208
FIGUEREDO,132,0.0205
GADELHA,130,0.0201
RAPOSO,129,0.0200
LYRA,129,0.0200
FROTA,128,0.0198
FRAZAO,128,0.0198
FONTOURA,127,0.0197
MARCELINO,127,0.0197
GODINHO,126,0.0195
PEDRO,126,0.0195
NEIVA,125,0.0194
MARANHAO,125,0.0194
GONTIJO,124,0.0192
PRATES,124,0.0192
SANCHEZ,123,0.0191
TELLES,123,0.0191
DAVID,123,0.0191
GALDINO,122,0.0189
CLEMENTE,122,0.0189
GASPAR,122,0.0189
ANTONIO,121,0.0187
ROMERO,121,0.0187
SEVERO,121,0.0187
BENEVIDES,121,0.0187
SATO,120,0.0186
FIRMINO,120,0.0186
SALVADOR,118,0.0183
LAGE,118,0.0183
CORTEZ,117,0.0181
GABRIEL,117,0.0181
ORTIZ,116,0.0180
LOPEZ,116,0.0180
HENRIQUE,116,0.0180
WEBER,115,0.0178
XIMENES,115,0.0178
MEIRELLES,115,0.0178
ALVAREZ,115,0.0178
AVELAR,114,0.0177
INACIO,114,0.0177
SABINO,114,0.0177
HORA,114,0.0177
AZEREDO,113,0.0175
PRATA,113,0.0175
ROQUE,113,0.0175
CALIXTO,113,0.0175
BRUNO,112,0.0174
MESSIAS,111,0.0172
RUFINO,111,0.0172
NEGREIROS,111,0.0172
MARIA,111,0.0172
VENANCIO,110,0.0170
MODESTO,110,0.0170
SILVESTRE,109,0.0169
VILLELA,109,0.0169
SERAFIM,108,0.0167
MEDINA,108,0.0167
BELO,107,0.0166
LINO,107,0.0166
GIL,107,0.0166
NERI,107,0.0166
FERRO,107,0.0166
GUERREIRO,107,0.0166
NEPOMUCENO,106,0.0164
FLORENCIO,106,0.0164
TOMAZ,106,0.0164
PORTUGAL,106,0.0164
CAVALHEIRO,105,0.0163
VALADARES,104,0.0161
PALMA,104,0.0161
VALERIO,104,0.0161
ASSUMPCAO,104,0.0161
ABRANTES,104,0.0161
CINTRA,103,0.0160
HERNANDEZ,103,0.0160
MADUREIRA,102,0.0158
BAHIA,102,0.0158
AMARO,102,0.0158
CEZAR,101,0.0156
PENNA,100,0.0155
MAFRA,100,0.0155
VALENTIM,99,0.0153
CAMILO,99,0.0153
ALVIM,98,0.0152
CAMELO,98,0.0152
AVELINO,98,0.0152
NAVARRO,98,0.0152
QUARESMA,98,0.0152
QUIRINO,98,0.0152
CAIXETA,96,0.0149
GODOI,96,0.0149
PRAZERES,96,0.0149
LUSTOSA,95,0.0147
JOSE,95,0.0147
SARTORI,95,0.0147
SEABRA,95,0.0147
VILHENA,94,0.0146
REGIS,94,0.0146
PADUA,94,0.0146
HOFFMANN,94,0.0146
VITAL,93,0.0144
ANGELO,93,0.0144
FONTENELE,92,0.0143
GUILHERME,92,0.0143
PAIM,92,0.0143
MATEUS,92,0.0143
COLARES,92,0.0143
ARANHA,92,0.0143
GARCEZ,91,0.0141
PONTE,91,0.0141
PESSANHA,91,0.0141
THOMAZ,91,0.0141
FEITOZA,90,0.0139
MARCAL,90,0.0139
VALENCA,90,0.0139
FAUSTINO,89,0.0138
FIDELIS,89,0.0138
AYRES,88,0.0136
DANIEL,88,0.0136
PALMEIRA,88,0.0136
BASSO,88,0.0136
ATAIDE,88,0.0136
ROMAO,88,0.0136
BESERRA,88,0.0136
HORTA,87,0.0135
DORNELLES,87,0.0135
FRAGOSO,87,0.0135
VASQUES,87,0.0135
MALTA,87,0.0135
FILHA,86,0.0133
TREVISAN,86,0.0133
MATTA,86,0.0133
FEIJO,85,0.0132
SALOMAO,85,0.0132
BERNARDINO,85,0.0132
ALONSO,85,0.0132
BELTRAO,85,0.0132
RICARDO,85,0.0132
BALBINO,85,0.0132
WATANABE,84,0.0130
GALINDO,84,0.0130
FONTANA,83,0.0129
MOLINA,83,0.0129
ALVARES,83,0.0129
JORDAO,82,0.0127
SERPA,82,0.0127
ANDRE,82,0.0127
GREGORIO,82,0.0127
FILGUEIRAS,82,0.0127
SCHMITT,82,0.0127
SOBREIRA,81,0.0125
SILVERIO,81,0.0125
BELLO,81,0.0125
VITORINO,81,0.0125
MARCONDES,80,0.0124
GRACA,80,0.0124
CASAGRANDE,80,0.0124
BRASILEIRO,79,0.0122
SENNA,79,0.0122
MUNHOZ,79,0.0122
CAMARGOS,79,0.0122
ROMANO,79,0.0122
VELLOSO,78,0.0121
SCHMITZ,78,0.0121
GOMEZ,78,0.0121
AMANCIO,78,0.0121
PRESTES,78,0.0121
DUQUE,78,0.0121
RABELLO,77,0.0119
BENTES,77,0.0119
TANAKA,77,0.0119
RUIZ,77,0.0119
ROBERTO,77,0.0119
TAVEIRA,76,0.0118
CONDE,76,0.0118
MATHIAS,76,0.0118
HONORATO,76,0.0118
BONIFACIO,76,0.0118
GUTIERREZ,75,0.0116
MORALES,75,0.0116
LEME,75,0.0116
BELEM,74,0.0115
CANTO,74,0.0115
BASILIO,74,0.0115
LOUZADA,73,0.0113
SAITO,73,0.0113
NAVES,73,0.0113
LADEIRA,73,0.0113
DORNELES,73,0.0113
CALADO,73,0.0113
PINA,73,0.0113
AZAMBUJA,73,0.0113
MADRUGA,72,0.0112
JACINTO,72,0.0112
BICALHO,72,0.0112
MARTINI,72,0.0112
BOAVENTURA,72,0.0112
SUZUKI,72,0.0112
CANUTO,72,0.0112
AGUILAR,71,0.0110
BERNARDI,71,0.0110
OSORIO,71,0.0110
SEVERINO,71,0.0110
VALADAO,71,0.0110
DIAZ,71,0.0110
PEDREIRA,70,0.0108
ALEIXO,70,0.0108
MALAQUIAS,70,0.0108
MARIN,70,0.0108
AFFONSO,70,0.0108
VARELA,69,0.0107
WAGNER,69,0.0107
KRUGER,69,0.0107
PRIMO,69,0.0107
VILAR,69,0.0107
KUHN,69,0.0107
NAKAMURA,69,0.0107
PASCOAL,68,0.0105
AMBROSIO,68,0.0105
MARTIN,68,0.0105
FILGUEIRA,68,0.0105
MORGADO,68,0.0105
LAGES,68,0.0105
COLOMBO,67,0.0104
BAIA,67,0.0104
TRAJANO,67,0.0104
JANUARIO,67,0.0104
PORTELLA,67,0.0104
JUSTINO,67,0.0104
JERONIMO,67,0.0104
GERMANO,66,0.0102
SABOIA,66,0.0102
FELICIO,66,0.0102
SCHERER,66,0.0102
SERRANO,66,0.0102
BIANCHI,65,0.0101
CRESPO,65,0.0101
REBELO,65,0.0101
ARRAIS,65,0.0101
LUCIO,65,0.0101
VERISSIMO,65,0.0101
SIMAS,65,0.0101
GARRIDO,65,0.0101
BARRA,65,0.0101
JACOB,64,0.0099
CELESTINO,64,0.0099
BRAGANCA,64,0.0099
FAVERO,64,0.0099
QUEIROGA,64,0.0099
BARATA,63,0.0098
VELASCO,63,0.0098
FURLAN,63,0.0098
ACOSTA,63,0.0098
MALHEIROS,63,0.0098
THOME,62,0.0096
MAURICIO,62,0.0096
RAMIREZ,62,0.0096
BARBIERI,62,0.0096
FORMIGA,62,0.0096
SERRAO,62,0.0096
MARTINELLI,62,0.0096
TOLENTINO,62,0.0096
MORO,62,0.0096
CANTANHEDE,62,0.0096
CASSIANO,61,0.0095
STEIN,61,0.0095
BATALHA,61,0.0095
SALAZAR,61,0.0095
BACELAR,61,0.0095
NONATO,61,0.0095
IGNACIO,61,0.0095
BARBALHO,61,0.0095
FIUZA,61,0.0095
CALAZANS,61,0.0095
CARRIJO,61,0.0095
RAIMUNDO,61,0.0095
FELICIANO,61,0.0095
SARDINHA,60,0.0093
MANHAES,60,0.0093
ESCOBAR,60,0.0093
NICOLAU,60,0.0093
GIRAO,60,0.0093
PATRICIO,60,0.0093
PROENCA,60,0.0093
PECANHA,60,0.0093
FACANHA,60,0.0093
TORQUATO,60,0.0093
BARREIRA,60,0.0093
DIOGO,60,0.0093
NEGRAO,59,0.0091
ROMEIRO,59,0.0091
LONGO,59,0.0091
MARCHI,59,0.0091
DRUMOND,59,0.0091
ALBINO,59,0.0091
CURY,59,0.0091
ROJAS,58,0.0090
ROSAS,58,0.0090
TOSTES,58,0.0090
ESTRELA,58,0.0090
TINOCO,58,0.0090
DELFINO,58,0.0090
LANA,58,0.0090
HONORIO,58,0.0090
COTRIM,58,0.0090
PARREIRA,57,0.0088
LANDIM,57,0.0088
DONATO,57,0.0088
MANTOVANI,57,0.0088
GERALDO,57,0.0088
PALHETA,57,0.0088
RECH,57,0.0088
BRAVO,57,0.0088
DORIA,56,0.0087
MILANI,56,0.0087
CRISPIM,56,0.0087
CIPRIANO,56,0.0087
FISCHER,56,0.0087
MAXIMO,56,0.0087
FROES,56,0.0087
DORNELAS,56,0.0087
TOME,55,0.0085
COTA,55,0.0085
ZIMMERMANN,55,0.0085
HARTMANN,55,0.0085
PALHARES,55,0.0085
MONTES,55,0.0085
MANSUR,55,0.0085
SIMON,55,0.0085
LEON,55,0.0085
ROSADO,55,0.0085
FLOR,54,0.0084
REBELLO,54,0.0084
MARRA,54,0.0084
ADAO,54,0.0084
ROZA,54,0.0084
LUCIANO,54,0.0084
BARRETTO,54,0.0084
MARCON,54,0.0084
DAHER,54,0.0084
MURTA,54,0.0084
GOMIDE,53,0.0082
JUCA,53,0.0082
MILHOMEM,53,0.0082
MEYER,53,0.0082
KARAJA,53,0.0082
WERNECK,53,0.0082
FOGACA,53,0.0082
AGOSTINHO,53,0.0082
RUSSO,53,0.0082
AMARANTE,53,0.0082
ZANATTA,53,0.0082
PEQUENO,53,0.0082
MATHEUS,53,0.0082
NOLETO,53,0.0082
JACQUES,52,0.0081
ABRAHAO,52,0.0081
ZANELLA,52,0.0081
RUAS,52,0.0081
BLANCO,52,0.0081
MOUTINHO,52,0.0081
PESTANA,52,0.0081
LOIOLA,51,0.0079
APOLINARIO,51,0.0079
VILLAR,51,0.0079
GALLO,51,0.0079
JOAQUIM,51,0.0079
MARCOLINO,51,0.0079
BULHOES,51,0.0079
FORTUNATO,51,0.0079
PEDROZA,51,0.0079
NERES,50,0.0077
DIOGENES,50,0.0077
LAURINDO,50,0.0077
ADRIANO,50,0.0077
ZAGO,50,0.0077
RAMIRES,50,0.0077
FERRAO,50,0.0077
MAYER,50,0.0077
BECK,50,0.0077
ATHAYDE,50,0.0077
CAMACHO,49,0.0076
PATROCINIO,49,0.0076
MERCES,49,0.0076
OLIVA,49,0.0076
TAKAHASHI,49,0.0076
CAIRES,49,0.0076
PENTEADO,48,0.0074
BENEDITO,48,0.0074
CARREIRO,48,0.0074
BENICIO,48,0.0074
LELIS,48,0.0074
VENTURINI,48,0.0074
NAZARIO,48,0.0074
MAIOR,48,0.0074
CASTANHEIRA,48,0.0074
PERIN,48,0.0074
YAMAMOTO,48,0.0074
COTTA,48,0.0074
CALHEIROS,48,0.0074
MEDRADO,48,0.0074
ORTEGA,48,0.0074
GROSSI,47,0.0073
VITOR,47,0.0073
XERENTE,47,0.0073
CONTI,47,0.0073
GLORIA,47,0.0073
ROSSATO,47,0.0073
FLORENTINO,47,0.0073
LOBAO,47,0.0073
VITORIA,47,0.0073
MORETTI,47,0.0073
BEM,47,0.0073
CLAUDINO,47,0.0073
ANSELMO,47,0.0073
TRIGUEIRO,47,0.0073
GAIA,46,0.0071
ARCANJO,46,0.0071
REYES,46,0.0071
CONSTANTINO,46,0.0071
CRUVINEL,46,0.0071
VALVERDE,46,0.0071
PASCHOAL,46,0.0071
POMPEU,46,0.0071
ANUNCIACAO,46,0.0071
LAPA,46,0.0071
RIZZO,46,0.0071
BARREIROS,45,0.0070
GIRARDI,45,0.0070
HERNANDES,45,0.0070
MAMEDE,45,0.0070
FORTE,45,0.0070
TRAVASSOS,45,0.0070
BELCHIOR,45,0.0070
