PNOME,QTDE,PERC
ISABEL,55,0.08605178753031369
VICTOR,55,0.08605178753031369
MARCELA,55,0.08605178753031369
DIOGO,55,0.08605178753031369
VITOR,55,0.08605178753031369
AILTON,55,0.08605178753031369
FREDERICO,54,0.08448720957521708
KARLA,54,0.08448720957521708
HELENA,53,0.08292263162012048
JAQUELINE,53,0.08292263162012048
SEVERINO,53,0.08292263162012048
HUMBERTO,53,0.08292263162012048
HELOISA,52,0.08135805366502387
AUGUSTO,52,0.08135805366502387
ANNA,52,0.08135805366502387
RUBENS,52,0.08135805366502387
DOUGLAS,52,0.08135805366502387
JANAINA,51,0.07979347570992726
LUIZA,51,0.07979347570992726
MARILIA,51,0.07979347570992726
KARINA,51,0.07979347570992726
MARILENE,51,0.07979347570992726
REINALDO,51,0.07979347570992726
FABRICIO,50,0.07822889775483063
FABIANO,50,0.07822889775483063
TEREZA,50,0.07822889775483063
CELIO,50,0.07822889775483063
ERICA,50,0.07822889775483063
NADIA,49,0.07666431979973402
VERONICA,49,0.07666431979973402
CRISTIANO,48,0.07509974184463741
ALESSANDRO,48,0.07509974184463741
SELMA,48,0.07509974184463741
DANILO,47,0.0735351638895408
ORLANDO,47,0.0735351638895408
MICHELLE,47,0.0735351638895408
ROSANE,47,0.0735351638895408
ANGELICA,47,0.0735351638895408
JAIME,47,0.0735351638895408
SUELI,47,0.0735351638895408
BEATRIZ,47,0.0735351638895408
WASHINGTON,46,0.07197058593444418
LUCIO,46,0.07197058593444418
MARA,46,0.07197058593444418
LUZIA,46,0.07197058593444418
JUAREZ,46,0.07197058593444418
JOSUE,45,0.07040600797934757
TELMA,45,0.07040600797934757
PRISCILLA,45,0.07040600797934757
LUCIENE,45,0.07040600797934757
ARNALDO,45,0.07040600797934757
WILLIAM,45,0.07040600797934757
ALICE,44,0.06884143002425096
MICHELE,44,0.06884143002425096
RUI,44,0.06884143002425096
DANIELE,43,0.06727685206915435
EVERALDO,43,0.06727685206915435
MURILO,43,0.06727685206915435
JAIRO,43,0.06727685206915435
JANE,42,0.06571227411405772
LIGIA,42,0.06571227411405772
JEAN,42,0.06571227411405772
JEFFERSON,42,0.06571227411405772
RAFAELA,42,0.06571227411405772
CARMEN,41,0.06414769615896113
SUELY,40,0.06258311820386452
MARLI,40,0.06258311820386452
ALMIR,40,0.06258311820386452
ALFREDO,39,0.0610185402487679
MOACIR,39,0.0610185402487679
DAVI,39,0.0610185402487679
ADEMIR,39,0.0610185402487679
DJALMA,38,0.05945396229367128
VIRGINIA,38,0.05945396229367128
NIVALDO,38,0.05945396229367128
GLAUCIA,38,0.05945396229367128
JACQUELINE,38,0.05945396229367128
JULIA,38,0.05945396229367128
GILVAN,38,0.05945396229367128
REJANE,37,0.05788938433857467
CINTIA,37,0.05788938433857467
ELISA,37,0.05788938433857467
MIRIAM,37,0.05788938433857467
ADALBERTO,37,0.05788938433857467
JESSICA,37,0.05788938433857467
SHEILA,37,0.05788938433857467
CLEBER,37,0.05788938433857467
ALAN,36,0.05632480638347806
JOSIAS,36,0.05632480638347806
CHRISTIANE,36,0.05632480638347806
SIDNEY,36,0.05632480638347806
JUSSARA,36,0.05632480638347806
KLEBER,36,0.05632480638347806
TERESA,35,0.05476022842838145
HAMILTON,35,0.05476022842838145
ANDRESSA,35,0.05476022842838145
DIANA,35,0.05476022842838145
AIRTON,35,0.05476022842838145
BERNARDO,35,0.05476022842838145
EMERSON,34,0.053195650473284825
KELLY,34,0.053195650473284825
ARTHUR,34,0.053195650473284825
DEBORAH,34,0.053195650473284825
LIDIA,34,0.053195650473284825
VILMA,34,0.053195650473284825
ISABELA,34,0.053195650473284825
IZABEL,33,0.051631072518188215
CLOVIS,33,0.051631072518188215
LOURIVAL,33,0.051631072518188215
JANETE,33,0.051631072518188215
LORENA,33,0.051631072518188215
BIANCA,33,0.051631072518188215
GEORGE,33,0.051631072518188215
IARA,33,0.051631072518188215
LILIANE,32,0.050066494563091604
CLEIDE,32,0.050066494563091604
ANGELO,32,0.050066494563091604
LUCIANE,32,0.050066494563091604
