UNOME,QTDE,PERC,PAIS,LETRAS,REV,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
TAVORA,3,0.0047,,6,AROVAT,A,R,O,V,A,T,,,,,,,,,,
DEWES,3,0.0047,,5,SEWED,S,E,W,E,D,,,,,,,,,,,
PRAES,3,0.0047,,5,SEARP,S,E,A,R,P,,,,,,,,,,,
FAVARO,3,0.0047,,6,ORAVAF,O,R,A,V,A,F,,,,,,,,,,
CANCADO,3,0.0047,,7,ODACNAC,O,D,A,C,N,A,C,,,,,,,,,
CANCELLA,3,0.0047,IT,8,ALLECNAC,A,L,L,E,C,N,A,C,,,,,,,,
EUGENIO,3,0.0047,,7,OINEGUE,O,I,N,E,G,U,E,,,,,,,,,
CORNELIO,3,0.0047,,8,OILENROC,O,I,L,E,N,R,O,C,,,,,,,,
FAVACHO,3,0.0047,,7,OHCAVAF,O,H,C,A,V,A,F,,,,,,,,,
BRUNET,3,0.0047,FR,6,TENURB,T,E,N,U,R,B,,,,,,,,,,
REINALDO,3,0.0047,,8,ODLANIER,O,D,L,A,N,I,E,R,,,,,,,,
CORIOLANO,3,0.0047,,9,ONALOIROC,O,N,A,L,O,I,R,O,C,,,,,,,
TONINI,3,0.0047,IT,6,ININOT,I,N,I,N,O,T,,,,,,,,,,
DELMONDES,3,0.0047,,9,SEDNOMLED,S,E,D,N,O,M,L,E,D,,,,,,,
TIMOTEO,3,0.0047,,7,OETOMIT,O,E,T,O,M,I,T,,,,,,,,,
FLAUSINO,3,0.0047,,8,ONISUALF,O,N,I,S,U,A,L,F,,,,,,,,
ESTEVAM,3,0.0047,,7,MAVETSE,M,A,V,E,T,S,E,,,,,,,,,
SUCUPIRA,3,0.0047,,8,ARIPUCUS,A,R,I,P,U,C,U,S,,,,,,,,
SABOYA,3,0.0047,,6,AYOBAS,A,Y,O,B,A,S,,,,,,,,,,
SPINDOLA,3,0.0047,,8,ALODNIPS,A,L,O,D,N,I,P,S,,,,,,,,
FURLAN,3,0.0047,,6,NALRUF,N,A,L,R,U,F,,,,,,,,,,
FROSI,3,0.0047,,5,ISORF,I,S,O,R,F,,,,,,,,,,,
RENOVATO,3,0.0047,,8,OTAVONER,O,T,A,V,O,N,E,R,,,,,,,,
TABORDA,3,0.0047,,7,ADROBAT,A,D,R,O,B,A,T,,,,,,,,,
FABIANO,3,0.0047,,7,ONAIBAF,O,N,A,I,B,A,F,,,,,,,,,
RIPARDO,3,0.0047,,7,ODRAPIR,O,D,R,A,P,I,R,,,,,,,,,
TIBURCIO,3,0.0047,,8,OICRUBIT,O,I,C,R,U,B,I,T,,,,,,,,
FUJIMOTO,3,0.0047,JP,8,OTOMIJUF,O,T,O,M,I,J,U,F,,,,,,,,
CRAVO,3,0.0047,,5,OVARC,O,V,A,R,C,,,,,,,,,,,
CHACON,3,0.0047,,6,NOCAHC,N,O,C,A,H,C,,,,,,,,,,
FAVA,3,0.0047,,4,AVAF,A,V,A,F,,,,,,,,,,,,
CALVO,3,0.0047,,5,OVLAC,O,V,L,A,C,,,,,,,,,,,
CANAL,3,0.0047,,5,LANAC,L,A,N,A,C,,,,,,,,,,,
EVARISTO,3,0.0047,,8,OTSIRAVE,O,T,S,I,R,A,V,E,,,,,,,,
COURY,3,0.0047,,5,YRUOC,Y,R,U,O,C,,,,,,,,,,,
COURA,3,0.0047,,5,ARUOC,A,R,U,O,C,,,,,,,,,,,
DORNELAS,3,0.0047,,8,SALENROD,S,A,L,E,N,R,O,D,,,,,,,,
CHAIN,3,0.0047,,5,NIAHC,N,I,A,H,C,,,,,,,,,,,
BRAVO,3,0.0047,,5,OVARB,O,V,A,R,B,,,,,,,,,,,
SUAREZ,3,0.0047,ES,6,ZERAUS,Z,E,R,A,U,S,,,,,,,,,,
MASSENA,3,0.0047,,7,ANESSAM,A,N,E,S,S,A,M,,,,,,,,,
GUTERRES,3,0.0047,,8,SERRETUG,S,E,R,R,E,T,U,G,,,,,,,,
PEDROTTI,3,0.0047,IT,8,ITTORDEP,I,T,T,O,R,D,E,P,,,,,,,,
BARACHO,3,0.0047,,7,OHCARAB,O,H,C,A,R,A,B,,,,,,,,,
ARGENTA,3,0.0047,,7,ATNEGRA,A,T,N,E,G,R,A,,,,,,,,,
ZANETTI,3,0.0047,IT,7,ITTENAZ,I,T,T,E,N,A,Z,,,,,,,,,
NERIS,3,0.0047,,5,SIREN,S,I,R,E,N,,,,,,,,,,,
MANCINI,3,0.0047,IT,7,INICNAM,I,N,I,C,N,A,M,,,,,,,,,
URBANO,3,0.0047,,6,ONABRU,O,N,A,B,R,U,,,,,,,,,,
KIMURA,3,0.0047,JP,6,ARUMIK,A,R,U,M,I,K,,,,,,,,,,
URQUIZA,3,0.0047,,7,AZIUQRU,A,Z,I,U,Q,R,U,,,,,,,,,
BERTOLINI,3,0.0047,IT,9,INILOTREB,I,N,I,L,O,T,R,E,B,,,,,,,
ARENA,3,0.0047,,5,ANERA,A,N,E,R,A,,,,,,,,,,,
MALLMANN,3,0.0047,DE,8,NNAMLLAM,N,N,A,M,L,L,A,M,,,,,,,,
MALHEIROS,3,0.0047,,9,SORIEHLAM,S,O,R,I,E,H,L,A,M,,,,,,,
WEINTRAUB,3,0.0047,,9,BUARTNIEW,B,U,A,R,T,N,I,E,W,,,,,,,
PARANHOS,3,0.0047,,8,SOHNARAP,S,O,H,N,A,R,A,P,,,,,,,,
LIMOEIRO,3,0.0047,,8,ORIEOMIL,O,R,I,E,O,M,I,L,,,,,,,,
MERIGUETE,3,0.0047,,9,ETEUGIREM,E,T,E,U,G,I,R,E,M,,,,,,,
WEISS,3,0.0047,,5,SSIEW,S,S,I,E,W,,,,,,,,,,,
LIMONGI,3,0.0047,,7,IGNOMIL,I,G,N,O,M,I,L,,,,,,,,,
MESCOUTO,3,0.0047,,8,OTUOCSEM,O,T,U,O,C,S,E,M,,,,,,,,
HERMANN,3,0.0047,DE,7,NNAMREH,N,N,A,M,R,E,H,,,,,,,,,
ZAMPROGNO,3,0.0047,,9,ONGORPMAZ,O,N,G,O,R,P,M,A,Z,,,,,,,
HERMES,3,0.0047,,6,SEMREH,S,E,M,R,E,H,,,,,,,,,,
HERRERA,3,0.0047,,7,ARERREH,A,R,E,R,R,E,H,,,,,,,,,
ZAMPIERI,3,0.0047,IT,8,IREIPMAZ,I,R,E,I,P,M,A,Z,,,,,,,,
MONCAO,3,0.0047,,6,OACNOM,O,A,C,N,O,M,,,,,,,,,,
HIRATA,3,0.0047,,6,ATARIH,A,T,A,R,I,H,,,,,,,,,,
PAMPLONA,3,0.0047,,8,ANOLPMAP,A,N,O,L,P,M,A,P,,,,,,,,
ALELUIA,3,0.0047,,7,AIULELA,A,I,U,L,E,L,A,,,,,,,,,
MANDARINO,3,0.0047,,9,ONIRADNAM,O,N,I,R,A,D,N,A,M,,,,,,,
PATRAO,3,0.0047,,6,OARTAP,O,A,R,T,A,P,,,,,,,,,,
LEONARDO,3,0.0047,,8,ODRANOEL,O,D,R,A,N,O,E,L,,,,,,,,
MARAMALDO,3,0.0047,,9,ODLAMARAM,O,D,L,A,M,A,R,A,M,,,,,,,
GUIDA,3,0.0047,,5,ADIUG,A,D,I,U,G,,,,,,,,,,,
ALANO,3,0.0047,,5,ONALA,O,N,A,L,A,,,,,,,,,,,
GUIDI,3,0.0047,,5,IDIUG,I,D,I,U,G,,,,,,,,,,,
ALARCAO,3,0.0047,,7,OACRALA,O,A,C,R,A,L,A,,,,,,,,,
PEDRAS,3,0.0047,,6,SARDEP,S,A,R,D,E,P,,,,,,,,,,
MORATELLI,3,0.0047,IT,9,ILLETAROM,I,L,L,E,T,A,R,O,M,,,,,,,
VILARINHO,3,0.0047,,9,OHNIRALIV,O,H,N,I,R,A,L,I,V,,,,,,,
WANZELER,3,0.0047,,8,RELEZNAW,R,E,L,E,Z,N,A,W,,,,,,,,
LEON,3,0.0047,,4,NOEL,N,O,E,L,,,,,,,,,,,,
ARNAUT,3,0.0047,,6,TUANRA,T,U,A,N,R,A,,,,,,,,,,
MELONIO,3,0.0047,,7,OINOLEM,O,I,N,O,L,E,M,,,,,,,,,
WATANABE,3,0.0047,,8,EBANATAW,E,B,A,N,A,T,A,W,,,,,,,,
ARGOLO,3,0.0047,,6,OLOGRA,O,L,O,G,R,A,,,,,,,,,,
MANSUR,3,0.0047,,6,RUSNAM,R,U,S,N,A,M,,,,,,,,,,
KOBAYASHI,3,0.0047,JP,9,IHSAYABOK,I,H,S,A,Y,A,B,O,K,,,,,,,
BALTAR,3,0.0047,,6,RATLAB,R,A,T,L,A,B,,,,,,,,,,
ULHOA,3,0.0047,,5,AOHLU,A,O,H,L,U,,,,,,,,,,,
ALBINO,3,0.0047,,6,ONIBLA,O,N,I,B,L,A,,,,,,,,,,
ALBRECHT,3,0.0047,,8,THCERBLA,T,H,C,E,R,B,L,A,,,,,,,,
PAVAN,3,0.0047,,5,NAVAP,N,A,V,A,P,,,,,,,,,,,
ALCOFORADO,3,0.0047,,10,ODAROFOCLA,O,D,A,R,O,F,O,C,L,A,,,,,,
BHERING,3,0.0047,,7,GNIREHB,G,N,I,R,E,H,B,,,,,,,,,
NAZARIO,3,0.0047,,7,OIRAZAN,O,I,R,A,Z,A,N,,,,,,,,,
BEZERRIL,3,0.0047,,8,LIRREZEB,L,I,R,R,E,Z,E,B,,,,,,,,
ALEIXO,3,0.0047,,6,OXIELA,O,X,I,E,L,A,,,,,,,,,,
KASPER,3,0.0047,,6,REPSAK,R,E,P,S,A,K,,,,,,,,,,
PALMIERI,3,0.0047,IT,8,IREIMLAP,I,R,E,I,M,L,A,P,,,,,,,,
HOFF,3,0.0047,DE,4,FFOH,F,F,O,H,,,,,,,,,,,,
BAUER,3,0.0047,DE,5,REUAB,R,E,U,A,B,,,,,,,,,,,
LUTZ,3,0.0047,,4,ZTUL,Z,T,U,L,,,,,,,,,,,,
MOITINHO,3,0.0047,,8,OHNITIOM,O,H,N,I,T,I,O,M,,,,,,,,
ANDREATTA,3,0.0047,,9,ATTAERDNA,A,T,T,A,E,R,D,N,A,,,,,,,
NUNEZ,3,0.0047,ES,5,ZENUN,Z,E,N,U,N,,,,,,,,,,,
JOIA,3,0.0047,,4,AIOJ,A,I,O,J,,,,,,,,,,,,
LUIS,3,0.0047,,4,SIUL,S,I,U,L,,,,,,,,,,,,
ISMAEL,3,0.0047,,6,LEAMSI,L,E,A,M,S,I,,,,,,,,,,
JOAO,3,0.0047,,4,OAOJ,O,A,O,J,,,,,,,,,,,,
LUCINDO,3,0.0047,,7,ODNICUL,O,D,N,I,C,U,L,,,,,,,,,
ONOFRE,3,0.0047,,6,ERFONO,E,R,F,O,N,O,,,,,,,,,,
ONO,3,0.0047,IT,3,ONO,O,N,O,,,,,,,,,,,,,
LUCIANO,3,0.0047,,7,ONAICUL,O,N,A,I,C,U,L,,,,,,,,,
OLMEDO,3,0.0047,,6,ODEMLO,O,D,E,M,L,O,,,,,,,,,,
YAMAGUCHI,3,0.0047,JP,9,IHCUGAMAY,I,H,C,U,G,A,M,A,Y,,,,,,,
OLIVER,3,0.0047,,6,REVILO,R,E,V,I,L,O,,,,,,,,,,
ANGELIM,3,0.0047,,7,MILEGNA,M,I,L,E,G,N,A,,,,,,,,,
JACINTHO,3,0.0047,,8,OHTNICAJ,O,H,T,N,I,C,A,J,,,,,,,,
JACO,3,0.0047,,4,OCAJ,O,C,A,J,,,,,,,,,,,,
BAY,3,0.0047,,3,YAB,Y,A,B,,,,,,,,,,,,,
MIOTTO,3,0.0047,IT,6,OTTOIM,O,T,T,O,I,M,,,,,,,,,,
JACOB,3,0.0047,,5,BOCAJ,B,O,C,A,J,,,,,,,,,,,
WOLFF,3,0.0047,,5,FFLOW,F,F,L,O,W,,,,,,,,,,,
JACOBS,3,0.0047,,6,SBOCAJ,S,B,O,C,A,J,,,,,,,,,,
JACOME,3,0.0047,,6,EMOCAJ,E,M,O,C,A,J,,,,,,,,,,
LOUZEIRO,3,0.0047,,8,ORIEZUOL,O,R,I,E,Z,U,O,L,,,,,,,,
LORENZO,3,0.0047,,7,OZNEROL,O,Z,N,E,R,O,L,,,,,,,,,
INOJOSA,3,0.0047,,7,ASOJONI,A,S,O,J,O,N,I,,,,,,,,,
NOVO,3,0.0047,,4,OVON,O,V,O,N,,,,,,,,,,,,
NINA,3,0.0047,,4,ANIN,A,N,I,N,,,,,,,,,,,,
BELTRAME,3,0.0047,,8,EMARTLEB,E,M,A,R,T,L,E,B,,,,,,,,
VALES,3,0.0047,,5,SELAV,S,E,L,A,V,,,,,,,,,,,
LIRIO,3,0.0047,,5,OIRIL,O,I,R,I,L,,,,,,,,,,,
PAGOTO,3,0.0047,,6,OTOGAP,O,T,O,G,A,P,,,,,,,,,,
MICHALSKI,3,0.0047,,9,IKSLAHCIM,I,K,S,L,A,H,C,I,M,,,,,,,
MAGNO,3,0.0047,,5,ONGAM,O,N,G,A,M,,,,,,,,,,,
BARRADAS,3,0.0047,,8,SADARRAB,S,A,D,A,R,R,A,B,,,,,,,,
AMADOR,3,0.0047,,6,RODAMA,R,O,D,A,M,A,,,,,,,,,,
MICHELS,3,0.0047,,7,SLEHCIM,S,L,E,H,C,I,M,,,,,,,,,
VANDERLEI,3,0.0047,,9,IELREDNAV,I,E,L,R,E,D,N,A,V,,,,,,,
PACE,3,0.0047,,4,ECAP,E,C,A,P,,,,,,,,,,,,
ZACARIAS,3,0.0047,,8,SAIRACAZ,S,A,I,R,A,C,A,Z,,,,,,,,
MADEIRO,3,0.0047,,7,ORIEDAM,O,R,I,E,D,A,M,,,,,,,,,
NORA,3,0.0047,,4,ARON,A,R,O,N,,,,,,,,,,,,
ANCHIETA,3,0.0047,,8,ATEIHCNA,A,T,E,I,H,C,N,A,,,,,,,,
BARROCA,3,0.0047,,7,ACORRAB,A,C,O,R,R,A,B,,,,,,,,,
ARAKAKI,3,0.0047,JP,7,IKAKARA,I,K,A,K,A,R,A,,,,,,,,,
WERNER,3,0.0047,,6,RENREW,R,E,N,R,E,W,,,,,,,,,,
MOLL,3,0.0047,,4,LLOM,L,L,O,M,,,,,,,,,,,,
JULIO,3,0.0047,,5,OILUJ,O,I,L,U,J,,,,,,,,,,,
IGREJA,3,0.0047,,6,AJERGI,A,J,E,R,G,I,,,,,,,,,,
LOBOSCO,3,0.0047,,7,OCSOBOL,O,C,S,O,B,O,L,,,,,,,,,
VARANDAS,3,0.0047,,8,SADNARAV,S,A,D,N,A,R,A,V,,,,,,,,
LOCATELLI,3,0.0047,IT,9,ILLETACOL,I,L,L,E,T,A,C,O,L,,,,,,,
ILHA,3,0.0047,,4,AHLI,A,H,L,I,,,,,,,,,,,,
YAMAMOTO,3,0.0047,JP,8,OTOMAMAY,O,T,O,M,A,M,A,Y,,,,,,,,
LOCKS,3,0.0047,,5,SKCOL,S,K,C,O,L,,,,,,,,,,,
AROUCHE,3,0.0047,,7,EHCUORA,E,H,C,U,O,R,A,,,,,,,,,
JAIME,3,0.0047,,5,EMIAJ,E,M,I,A,J,,,,,,,,,,,
BALEN,3,0.0047,,5,NELAB,N,E,L,A,B,,,,,,,,,,,
TRISTAO,3,0.0047,,7,OATSIRT,O,A,T,S,I,R,T,,,,,,,,,
ACIOLI,3,0.0047,,6,ILOICA,I,L,O,I,C,A,,,,,,,,,,
MUNDIM,3,0.0047,,6,MIDNUM,M,I,D,N,U,M,,,,,,,,,,
MAYER,3,0.0047,DE,5,REYAM,R,E,Y,A,M,,,,,,,,,,,
LAURINDO,3,0.0047,,8,ODNIRUAL,O,D,N,I,R,U,A,L,,,,,,,,
LAMAS,3,0.0047,,5,SAMAL,S,A,M,A,L,,,,,,,,,,,
VINAGRE,3,0.0047,,7,ERGANIV,E,R,G,A,N,I,V,,,,,,,,,
BOHRER,3,0.0047,,6,RERHOB,R,E,R,H,O,B,,,,,,,,,,
LAVRA,3,0.0047,,5,ARVAL,A,R,V,A,L,,,,,,,,,,,
GODEIRO,3,0.0047,,7,ORIEDOG,O,R,I,E,D,O,G,,,,,,,,,
MAZIERO,3,0.0047,,7,OREIZAM,O,R,E,I,Z,A,M,,,,,,,,,
LAPA,3,0.0047,,4,APAL,A,P,A,L,,,,,,,,,,,,
BOGEA,3,0.0047,,5,AEGOB,A,E,G,O,B,,,,,,,,,,,
BOFF,3,0.0047,,4,FFOB,F,F,O,B,,,,,,,,,,,,
BAIMA,3,0.0047,,5,AMIAB,A,M,I,A,B,,,,,,,,,,,
ZIMMERMANN,3,0.0047,DE,10,NNAMREMMIZ,N,N,A,M,R,E,M,M,I,Z,,,,,,
ZIMMER,3,0.0047,,6,REMMIZ,R,E,M,M,I,Z,,,,,,,,,,
MORETTO,3,0.0047,IT,7,OTTEROM,O,T,T,E,R,O,M,,,,,,,,,
NACIF,3,0.0047,,5,FICAN,F,I,C,A,N,,,,,,,,,,,
BOEIRA,3,0.0047,,6,ARIEOB,A,R,I,E,O,B,,,,,,,,,,
LANNES,3,0.0047,,6,SENNAL,S,E,N,N,A,L,,,,,,,,,,
BONOTTO,3,0.0047,IT,7,OTTONOB,O,T,T,O,N,O,B,,,,,,,,,
MAURITY,3,0.0047,,7,YTIRUAM,Y,T,I,R,U,A,M,,,,,,,,,
TRENTIN,3,0.0047,,7,NITNERT,N,I,T,N,E,R,T,,,,,,,,,
VIRTUOSO,3,0.0047,,8,OSOUTRIV,O,S,O,U,T,R,I,V,,,,,,,,
GOSMANN,3,0.0047,DE,7,NNAMSOG,N,N,A,M,S,O,G,,,,,,,,,
MORTE,3,0.0047,,5,ETROM,E,T,R,O,M,,,,,,,,,,,
PIANCO,3,0.0047,,6,OCNAIP,O,C,N,A,I,P,,,,,,,,,,
GONSALVES,3,0.0047,,9,SEVLASNOG,S,E,V,L,A,S,N,O,G,,,,,,,
PIAIA,3,0.0047,,5,AIAIP,A,I,A,I,P,,,,,,,,,,,
VOGT,3,0.0047,,4,TGOV,T,G,O,V,,,,,,,,,,,,
VIZZOTTO,3,0.0047,IT,8,OTTOZZIV,O,T,T,O,Z,Z,I,V,,,,,,,,
MARRIEL,3,0.0047,,7,LEIRRAM,L,E,I,R,R,A,M,,,,,,,,,
BOM,3,0.0047,,3,MOB,M,O,B,,,,,,,,,,,,,
MARREIROS,3,0.0047,,9,SORIERRAM,S,O,R,I,E,R,R,A,M,,,,,,,
BOLZAN,3,0.0047,,6,NAZLOB,N,A,Z,L,O,B,,,,,,,,,,
MARANGONI,3,0.0047,IT,9,INOGNARAM,I,N,O,G,N,A,R,A,M,,,,,,,
BAGOLIN,3,0.0047,,7,NILOGAB,N,I,L,O,G,A,B,,,,,,,,,
VIRGINIO,3,0.0047,,8,OINIGRIV,O,I,N,I,G,R,I,V,,,,,,,,
LAFAYETTE,3,0.0047,,9,ETTEYAFAL,E,T,T,E,Y,A,F,A,L,,,,,,,
MURAKAMI,3,0.0047,,8,IMAKARUM,I,M,A,K,A,R,U,M,,,,,,,,
LARANJEIRA,3,0.0047,,10,ARIEJNARAL,A,R,I,E,J,N,A,R,A,L,,,,,,
ABRAHAO,3,0.0047,,7,OAHARBA,O,A,H,A,R,B,A,,,,,,,,,
LARANJA,3,0.0047,,7,AJNARAL,A,J,N,A,R,A,L,,,,,,,,,
KUSTER,3,0.0047,,6,RETSUK,R,E,T,S,U,K,,,,,,,,,,
TOSTES,3,0.0047,,6,SETSOT,S,E,T,S,O,T,,,,,,,,,,
BACELLAR,3,0.0047,,8,RALLECAB,R,A,L,L,E,C,A,B,,,,,,,,
GONZALES,3,0.0047,,8,SELAZNOG,S,E,L,A,Z,N,O,G,,,,,,,,
BORDIGNON,3,0.0047,,9,NONGIDROB,N,O,N,G,I,D,R,O,B,,,,,,,
VILLACA,3,0.0047,,7,ACALLIV,A,C,A,L,L,I,V,,,,,,,,,
MARTINIANO,3,0.0047,,10,ONAINITRAM,O,N,A,I,N,I,T,R,A,M,,,,,,
VITORIO,3,0.0047,,7,OIROTIV,O,I,R,O,T,I,V,,,,,,,,,
GIRARDI,3,0.0047,,7,IDRARIG,I,D,R,A,R,I,G,,,,,,,,,
MELGACO,3,0.0047,,7,OCAGLEM,O,C,A,G,L,E,M,,,,,,,,,
LEIPNITZ,3,0.0047,,8,ZTINPIEL,Z,T,I,N,P,I,E,L,,,,,,,,
WALTER,3,0.0047,,6,RETLAW,R,E,T,L,A,W,,,,,,,,,,
GIORDANO,3,0.0047,,8,ONADROIG,O,N,A,D,R,O,I,G,,,,,,,,
TUPINAMBA,3,0.0047,,9,ABMANIPUT,A,B,M,A,N,I,P,U,T,,,,,,,
MELHORANCA,3,0.0047,,10,ACNAROHLEM,A,C,N,A,R,O,H,L,E,M,,,,,,
PERRONI,3,0.0047,IT,7,INORREP,I,N,O,R,R,E,P,,,,,,,,,
BIZZO,3,0.0047,,5,OZZIB,O,Z,Z,I,B,,,,,,,,,,,
KREUTZ,3,0.0047,,6,ZTUERK,Z,T,U,E,R,K,,,,,,,,,,
ABDALLA,3,0.0047,,7,ALLADBA,A,L,L,A,D,B,A,,,,,,,,,
PENEDO,3,0.0047,,6,ODENEP,O,D,E,N,E,P,,,,,,,,,,
KREMER,3,0.0047,,6,REMERK,R,E,M,E,R,K,,,,,,,,,,
AZAMBUJA,3,0.0047,,8,AJUBMAZA,A,J,U,B,M,A,Z,A,,,,,,,,
BIONDO,3,0.0047,,6,ODNOIB,O,D,N,O,I,B,,,,,,,,,,
MARCHI,3,0.0047,,6,IHCRAM,I,H,C,R,A,M,,,,,,,,,,
ZETOLES,3,0.0047,,7,SELOTEZ,S,E,L,O,T,E,Z,,,,,,,,,
KUIAVA,3,0.0047,,6,AVAIUK,A,V,A,I,U,K,,,,,,,,,,
ASSAF,3,0.0047,,5,FASSA,F,A,S,S,A,,,,,,,,,,,
TROMBINI,3,0.0047,IT,8,INIBMORT,I,N,I,B,M,O,R,T,,,,,,,,
AGOSTINI,3,0.0047,IT,8,INITSOGA,I,N,I,T,S,O,G,A,,,,,,,,
AGOSTINHO,3,0.0047,,9,OHNITSOGA,O,H,N,I,T,S,O,G,A,,,,,,,
LANNA,3,0.0047,,5,ANNAL,A,N,N,A,L,,,,,,,,,,,
GLORIA,3,0.0047,,6,AIROLG,A,I,R,O,L,G,,,,,,,,,,
MAREGA,3,0.0047,,6,AGERAM,A,G,E,R,A,M,,,,,,,,,,
MOULIN,3,0.0047,,6,NILUOM,N,I,L,U,O,M,,,,,,,,,,
BALBE,3,0.0047,,5,EBLAB,E,B,L,A,B,,,,,,,,,,,
PEGAS,3,0.0047,,5,SAGEP,S,A,G,E,P,,,,,,,,,,,
MOIZINHO,2,0.0031,,8,OHNIZIOM,O,H,N,I,Z,I,O,M,,,,,,,,
MOCO,2,0.0031,,4,OCOM,O,C,O,M,,,,,,,,,,,,
ROSSATO,2,0.0031,,7,OTASSOR,O,T,A,S,S,O,R,,,,,,,,,
MOLINARI,2,0.0031,,8,IRANILOM,I,R,A,N,I,L,O,M,,,,,,,,
LORENTZ,2,0.0031,,7,ZTNEROL,Z,T,N,E,R,O,L,,,,,,,,,
ROVARIS,2,0.0031,,7,SIRAVOR,S,I,R,A,V,O,R,,,,,,,,,
LANG,2,0.0031,,4,GNAL,G,N,A,L,,,,,,,,,,,,
LORENA,2,0.0031,,6,ANEROL,A,N,E,R,O,L,,,,,,,,,,
MOCELLIN,2,0.0031,,8,NILLECOM,N,I,L,L,E,C,O,M,,,,,,,,
DOTTO,2,0.0031,IT,5,OTTOD,O,T,T,O,D,,,,,,,,,,,
DOWSLEY,2,0.0031,,7,YELSWOD,Y,E,L,S,W,O,D,,,,,,,,,
LOMBA,2,0.0031,,5,ABMOL,A,B,M,O,L,,,,,,,,,,,
DRUZIAN,2,0.0031,,7,NAIZURD,N,A,I,Z,U,R,D,,,,,,,,,
LONTRA,2,0.0031,,6,ARTNOL,A,R,T,N,O,L,,,,,,,,,,
LANGE,2,0.0031,,5,EGNAL,E,G,N,A,L,,,,,,,,,,,
SALLENAVE,2,0.0031,,9,EVANELLAS,E,V,A,N,E,L,L,A,S,,,,,,,
LOMBARDI,2,0.0031,,8,IDRABMOL,I,D,R,A,B,M,O,L,,,,,,,,
LATINI,2,0.0031,IT,6,INITAL,I,N,I,T,A,L,,,,,,,,,,
LOLLI,2,0.0031,,5,ILLOL,I,L,L,O,L,,,,,,,,,,,
MOHR,2,0.0031,,4,RHOM,R,H,O,M,,,,,,,,,,,,
LOFRANO,2,0.0031,,7,ONARFOL,O,N,A,R,F,O,L,,,,,,,,,
LONDERO,2,0.0031,,7,OREDNOL,O,R,E,D,N,O,L,,,,,,,,,
DELFINO,2,0.0031,,7,ONIFLED,O,N,I,F,L,E,D,,,,,,,,,
DUO,2,0.0031,,3,OUD,O,U,D,,,,,,,,,,,,,
LAPOLLI,2,0.0031,,7,ILLOPAL,I,L,L,O,P,A,L,,,,,,,,,
MOISES,2,0.0031,,6,SESIOM,S,E,S,I,O,M,,,,,,,,,,
DUMONT,2,0.0031,FR,6,TNOMUD,T,N,O,M,U,D,,,,,,,,,,
LODI,2,0.0031,,4,IDOL,I,D,O,L,,,,,,,,,,,,
SALONE,2,0.0031,,6,ENOLAS,E,N,O,L,A,S,,,,,,,,,,
ROSSETTI,2,0.0031,IT,8,ITTESSOR,I,T,T,E,S,S,O,R,,,,,,,,
DUNLEY,2,0.0031,,6,YELNUD,Y,E,L,N,U,D,,,,,,,,,,
DELBONI,2,0.0031,IT,7,INOBLED,I,N,O,B,L,E,D,,,,,,,,,
SAID,2,0.0031,,4,DIAS,D,I,A,S,,,,,,,,,,,,
DEMARTINI,2,0.0031,IT,9,INITRAMED,I,N,I,T,R,A,M,E,D,,,,,,,
LEOPOLDO,2,0.0031,,8,ODLOPOEL,O,D,L,O,P,O,E,L,,,,,,,,
LEY,2,0.0031,,3,YEL,Y,E,L,,,,,,,,,,,,,
RUBIM,2,0.0031,,5,MIBUR,M,I,B,U,R,,,,,,,,,,,
LEDA,2,0.0031,,4,ADEL,A,D,E,L,,,,,,,,,,,,
MORES,2,0.0031,,5,SEROM,S,E,R,O,M,,,,,,,,,,,
MONTEZUMA,2,0.0031,JP,9,AMUZETNOM,A,M,U,Z,E,T,N,O,M,,,,,,,
RUBIN,2,0.0031,,5,NIBUR,N,I,B,U,R,,,,,,,,,,,
DIEFENBACH,2,0.0031,DE,10,HCABNEFEID,H,C,A,B,N,E,F,E,I,D,,,,,,
LEGNANI,2,0.0031,,7,INANGEL,I,N,A,N,G,E,L,,,,,,,,,
MORELLI,2,0.0031,IT,7,ILLEROM,I,L,L,E,R,O,M,,,,,,,,,
RUBINSTEIN,2,0.0031,DE,10,NIETSNIBUR,N,I,E,T,S,N,I,B,U,R,,,,,,
LESKE,2,0.0031,,5,EKSEL,E,K,S,E,L,,,,,,,,,,,
DILL,2,0.0031,,4,LLID,L,L,I,D,,,,,,,,,,,,
SALVIANO,2,0.0031,,8,ONAIVLAS,O,N,A,I,V,L,A,S,,,,,,,,
LAU,2,0.0031,,3,UAL,U,A,L,,,,,,,,,,,,,
LEOPOLDINO,2,0.0031,,10,ONIDLOPOEL,O,N,I,D,L,O,P,O,E,L,,,,,,
LEONI,2,0.0031,IT,5,INOEL,I,N,O,E,L,,,,,,,,,,,
LEONE,2,0.0031,,5,ENOEL,E,N,O,E,L,,,,,,,,,,,
LEIRIA,2,0.0031,,6,AIRIEL,A,I,R,I,E,L,,,,,,,,,,
LELLIS,2,0.0031,,6,SILLEL,S,I,L,L,E,L,,,,,,,,,,
DOMICIANO,2,0.0031,,9,ONAICIMOD,O,N,A,I,C,I,M,O,D,,,,,,,
RUDAKOFF,2,0.0031,,8,FFOKADUR,F,F,O,K,A,D,U,R,,,,,,,,
