UNOME,QTDE,PERC,PAIS,LETRAS,REV,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
NOGUEIRA,174,0.2722,PT,8,ARIEUGON,A,R,I,E,U,G,O,N,,,,,,,,
FARIAS,167,0.2613,PT,6,SAIRAF,S,A,I,R,A,F,,,,,,,,,,
NEVES,163,0.2550,PT,5,SEVEN,S,E,V,E,N,,,,,,,,,,,
VASCONCELOS,161,0.2519,PT,11,SOLECNOCSAV,S,O,L,E,C,N,O,C,S,A,V,,,,,
CORREA,160,0.2503,PT,6,AERROC,A,E,R,R,O,C,,,,,,,,,,
TAVARES,156,0.2441,PT,7,SERAVAT,S,E,R,A,V,A,T,,,,,,,,,
MATOS,153,0.2394,PT,5,SOTAM,S,O,T,A,M,,,,,,,,,,,
MAGALHAES,151,0.2363,PT,9,SEAHLAGAM,S,E,A,H,L,A,G,A,M,,,,,,,
ALBUQUERQUE,148,0.2316,PT,11,EUQREUQUBLA,E,U,Q,R,E,U,Q,U,B,L,A,,,,,
CAVALCANTE,145,0.2269,PT,10,ETNACLAVAC,E,T,N,A,C,L,A,V,A,C,,,,,,
FARIA,144,0.2253,PT,5,AIRAF,A,I,R,A,F,,,,,,,,,,,
MACEDO,139,0.2175,PT,6,ODECAM,O,D,E,C,A,M,,,,,,,,,,
SIQUEIRA,138,0.2159,PT,8,ARIEUQIS,A,R,I,E,U,Q,I,S,,,,,,,,
AMORIM,138,0.2159,PT,6,MIROMA,M,I,R,O,M,A,,,,,,,,,,
DUARTE,137,0.2143,PT,6,ETRAUD,E,T,R,A,U,D,,,,,,,,,,
AMARAL,136,0.2128,PT,6,LARAMA,L,A,R,A,M,A,,,,,,,,,,
MAIA,135,0.2112,PT,4,AIAM,A,I,A,M,,,,,,,,,,,,
AGUIAR,133,0.2081,PT,6,RAIUGA,R,A,I,U,G,A,,,,,,,,,,
BRAGA,131,0.2050,PT,5,AGARB,A,G,A,R,B,,,,,,,,,,,
MELLO,129,0.2018,PT,5,OLLEM,O,L,L,E,M,,,,,,,,,,,
PAULA,128,0.2003,PT,5,ALUAP,A,L,U,A,P,,,,,,,,,,,
ABREU,127,0.1987,PT,5,UERBA,U,E,R,B,A,,,,,,,,,,,
FIGUEIREDO,127,0.1987,PT,10,ODERIEUGIF,O,D,E,R,I,E,U,G,I,F,,,,,,
QUEIROZ,127,0.1987,PT,7,ZORIEUQ,Z,O,R,I,E,U,Q,,,,,,,,,
GARCIA,126,0.1971,PT,6,AICRAG,A,I,C,R,A,G,,,,,,,,,,
CONCEICAO,123,0.1924,PT,9,OACIECNOC,O,A,C,I,E,C,N,O,C,,,,,,,
PIRES,122,0.1909,PT,5,SERIP,S,E,R,I,P,,,,,,,,,,,
MENDONCA,121,0.1893,PT,8,ACNODNEM,A,C,N,O,D,N,E,M,,,,,,,,
VIANA,121,0.1893,PT,5,ANAIV,A,N,A,I,V,,,,,,,,,,,
CARNEIRO,118,0.1846,PT,8,ORIENRAC,O,R,I,E,N,R,A,C,,,,,,,,
BARRETO,116,0.1815,PT,7,OTERRAB,O,T,E,R,R,A,B,,,,,,,,,
FRANCA,115,0.1799,PT,6,ACNARF,A,C,N,A,R,F,,,,,,,,,,
SA,115,0.1799,PT,2,AS,A,S,,,,,,,,,,,,,,
MOTA,114,0.1784,PT,4,ATOM,A,T,O,M,,,,,,,,,,,,
XAVIER,112,0.1752,PT,6,REIVAX,R,E,I,V,A,X,,,,,,,,,,
CABRAL,111,0.1737,,6,LARBAC,L,A,R,B,A,C,,,,,,,,,,
DANTAS,109,0.1705,,6,SATNAD,S,A,T,N,A,D,,,,,,,,,,
PAIVA,108,0.1690,,5,AVIAP,A,V,I,A,P,,,,,,,,,,,
TORRES,104,0.1627,,6,SERROT,S,E,R,R,O,T,,,,,,,,,,
MACIEL,102,0.1596,,6,LEICAM,L,E,I,C,A,M,,,,,,,,,,
