UNOME,QTDE,PERC
ROSARIO,25,0.0391
NETTO,25,0.0391
LOBATO,25,0.0391
BRAZ,25,0.0391
GOUVEIA,25,0.0391
DOMINGOS,24,0.0376
RIOS,24,0.0376
GONZAGA,24,0.0376
BISPO,24,0.0376
PADILHA,24,0.0376
ANA,24,0.0376
BUENO,24,0.0376
MEIRA,24,0.0376
CAMPELO,23,0.0360
VILELA,23,0.0360
PEDROSO,23,0.0360
VENTURA,23,0.0360
BERNARDES,23,0.0360
PAULO,23,0.0360
ALEXANDRE,23,0.0360
SARMENTO,23,0.0360
SALLES,22,0.0344
MORENO,22,0.0344
JORGE,22,0.0344
SALGADO,22,0.0344
QUADROS,22,0.0344
BERNARDO,22,0.0344
PORTELA,22,0.0344
BENTO,21,0.0329
MARINS,21,0.0329
GOIS,21,0.0329
COIMBRA,21,0.0329
BRUM,21,0.0329
PANTOJA,20,0.0313
PARENTE,20,0.0313
ARANTES,20,0.0313
DOURADO,20,0.0313
BARCELLOS,20,0.0313
CALDEIRA,20,0.0313
CANDIDO,20,0.0313
SANCHES,20,0.0313
LUIZ,20,0.0313
MATIAS,19,0.0297
BARCELOS,19,0.0297
BESSA,19,0.0297
FELIPE,19,0.0297
CARDOZO,19,0.0297
GOUVEA,19,0.0297
FIALHO,19,0.0297
BONFIM,19,0.0297
VALLE,19,0.0297
AFONSO,19,0.0297
NERY,19,0.0297
LAGO,18,0.0282
PENA,18,0.0282
CUSTODIO,18,0.0282
NOVAIS,18,0.0282
MOURAO,18,0.0282
MONTE,18,0.0282
MARIA,18,0.0282
NORONHA,18,0.0282
SOBRAL,18,0.0282
MARANHAO,17,0.0266
GODINHO,17,0.0266
SCHNEIDER,17,0.0266
MULLER,17,0.0266
CASTILHO,17,0.0266
LUNA,17,0.0266
SODRE,17,0.0266
HENRIQUE,17,0.0266
MEIRELES,17,0.0266
WANDERLEY,17,0.0266
ARANHA,16,0.0250
LAGE,16,0.0250
MARIANO,16,0.0250
FERRO,16,0.0250
GONDIM,16,0.0250
MADEIRA,16,0.0250
FAUSTINO,16,0.0250
ABRANTES,16,0.0250
ANTONIO,16,0.0250
FONTOURA,16,0.0250
MATA,16,0.0250
PRATES,16,0.0250
ELIAS,15,0.0235
AIRES,15,0.0235
FLORENCIO,15,0.0235
AMARO,15,0.0235
RAPOSO,15,0.0235
SIMAO,15,0.0235
ROLIM,15,0.0235
GADELHA,15,0.0235
BECKER,15,0.0235
ROSSI,15,0.0235
HENRIQUES,15,0.0235
JOSE,14,0.0219
TERRA,14,0.0219
MONTENEGRO,14,0.0219
TELLES,14,0.0219
MIGUEL,14,0.0219
FERRARI,14,0.0219
PAULINO,14,0.0219
SEIXAS,14,0.0219
DAVID,14,0.0219
GODOY,14,0.0219
SERPA,14,0.0219
SALVADOR,14,0.0219
GONTIJO,14,0.0219
FORTES,14,0.0219
GONZALEZ,14,0.0219
VICENTE,13,0.0203
SABINO,13,0.0203
HORA,13,0.0203
AZEREDO,13,0.0203
SERAFIM,13,0.0203
PENNA,13,0.0203
MARTINEZ,13,0.0203
MASCARENHAS,13,0.0203
UCHOA,13,0.0203
BERNARDINO,13,0.0203
TEODORO,13,0.0203
GIL,13,0.0203
CORTES,13,0.0203
BELO,13,0.0203
GIRAO,13,0.0203
TOMAZ,13,0.0203
DELGADO,13,0.0203
NEIVA,13,0.0203
MESSIAS,12,0.0188
ASSUMPCAO,12,0.0188
LARA,12,0.0188
FIRMINO,12,0.0188
REBOUCAS,12,0.0188
VELLOSO,12,0.0188
CORTEZ,12,0.0188
MARCELINO,12,0.0188
GUSMAO,12,0.0188
GURGEL,12,0.0188
FRAZAO,12,0.0188
ATAIDE,12,0.0188
PEDRO,12,0.0188
BITENCOURT,12,0.0188
CLEMENTE,12,0.0188
BENEVIDES,12,0.0188
NEGREIROS,12,0.0188
MUNHOZ,12,0.0188
FONTENELE,12,0.0188
CALAZANS,12,0.0188
VALENTIM,12,0.0188
GASPAR,12,0.0188
BRITTO,12,0.0188
MALAQUIAS,12,0.0188
VIEGAS,11,0.0172
BASILIO,11,0.0172
LAGES,11,0.0172
CALIXTO,11,0.0172
BELLO,11,0.0172
REBELO,11,0.0172
GABRIEL,11,0.0172
JARDIM,11,0.0172
ADRIANO,11,0.0172
DIOGO,11,0.0172
CARLOS,11,0.0172
ALVAREZ,11,0.0172
PESSANHA,11,0.0172
AVELINO,11,0.0172
PEREZ,11,0.0172
MODESTO,11,0.0172
HORTA,11,0.0172
BOAS,11,0.0172
GALDINO,11,0.0172
SILVERIO,11,0.0172
FILGUEIRA,11,0.0172
FIGUEREDO,11,0.0172
RUAS,11,0.0172
MEIRELLES,11,0.0172
VENANCIO,10,0.0156
GAIA,10,0.0156
MAXIMO,10,0.0156
CAMILO,10,0.0156
DEUS,10,0.0156
RIBAS,10,0.0156
EDUARDO,10,0.0156
OSORIO,10,0.0156
ESTRELA,10,0.0156
FEITOZA,10,0.0156
SCHMIDT,10,0.0156
ANGELO,10,0.0156
CANTO,10,0.0156
VALENCA,10,0.0156
GUILHERME,10,0.0156
NEPOMUCENO,10,0.0156
QUINTANILHA,10,0.0156
WEBER,10,0.0156
ANSELMO,10,0.0156
COLARES,10,0.0156
LIMEIRA,10,0.0156
PADUA,10,0.0156
QUARESMA,10,0.0156
RUFINO,10,0.0156
ESPINDOLA,10,0.0156
SEABRA,10,0.0156
BASSO,10,0.0156
THOMAZ,10,0.0156
BRUNO,10,0.0156
PRATA,10,0.0156
DORNELLES,10,0.0156
AYRES,10,0.0156
FROTA,10,0.0156
DANIEL,9,0.0141
JUNQUEIRA,9,0.0141
NETA,9,0.0141
VITAL,9,0.0141
SIMAS,9,0.0141
PALMA,9,0.0141
KLEIN,9,0.0141
LANDIM,9,0.0141
NERI,9,0.0141
VASQUES,9,0.0141
CASSIANO,9,0.0141
BELTRAO,9,0.0141
BATALHA,9,0.0141
CINTRA,9,0.0141
GARCEZ,9,0.0141
LINO,9,0.0141
ZEFERINO,9,0.0141
SENNA,9,0.0141
MARCAL,9,0.0141
CEZAR,9,0.0141
MORALES,9,0.0141
BRAGANCA,9,0.0141
ALBERTO,9,0.0141
QUIRINO,9,0.0141
CANTANHEDE,9,0.0141
TRAJANO,9,0.0141
FERNANDEZ,9,0.0141
MALTA,9,0.0141
SEVERO,9,0.0141
LOUZADA,9,0.0141
ROMEIRO,9,0.0141
PRIMO,9,0.0141
LUSTOSA,9,0.0141
PRAZERES,9,0.0141
ROMERO,9,0.0141
VITORINO,9,0.0141
MEDINA,9,0.0141
PORTUGAL,9,0.0141
MAURICIO,9,0.0141
MARRA,9,0.0141
PATRIOTA,9,0.0141
LAVOR,9,0.0141
PAVAO,8,0.0125
ROMAO,8,0.0125
CONDE,8,0.0125
VITOR,8,0.0125
SEVERINO,8,0.0125
NONATO,8,0.0125
ALVIM,8,0.0125
RICARDO,8,0.0125
SALOMAO,8,0.0125
LOIOLA,8,0.0125
BONIFACIO,8,0.0125
BALBINO,8,0.0125
ALVARES,8,0.0125
BESERRA,8,0.0125
REGIS,8,0.0125
SABOIA,8,0.0125
AVELAR,8,0.0125
JERONIMO,8,0.0125
SACRAMENTO,8,0.0125
XIMENES,8,0.0125
MAFRA,8,0.0125
LYRA,8,0.0125
PONTE,8,0.0125
AMBROSIO,8,0.0125
NAVES,8,0.0125
GALINDO,8,0.0125
SCHMITT,8,0.0125
PICANCO,8,0.0125
GOMIDE,8,0.0125
FILGUEIRAS,8,0.0125
LEANDRO,8,0.0125
ROBERTO,8,0.0125
MARCONDES,8,0.0125
BIANCHI,8,0.0125
CUTRIM,8,0.0125
CRESPO,8,0.0125
SIMON,8,0.0125
CAMELO,8,0.0125
